P27746	COG0022
P28614	COG3284
Q0K757	COG0443
P19912	COG0158
P50322	COG0057
Q0KCY0	COG0158
P50321	COG0057
Q0KFF8	COG0154
Q0K5M4	COG0712
Q0K6M6	COG1181
P40119	COG0637
Q0K8F5	COG0039
P31892	COG1740
Q59100	COG0191
Q0KA22	COG0743
Q0KE19	COG1212
Q0KDH0	COG0451
Q0KDG3	COG1135
Q0K8L9	COG0332
Q0K1H0	COG2515
Q0K5Z9	COG0050
P40853	COG0546
Q0K0X8	COG0296
Q0K661	COG1965
Q0KEP4	COG0266
Q0KCC0	COG0249
Q0KF58	COG2021
P40852	COG0546
Q0KBM9	COG0245
Q0KFM5	COG0010
P19923	COG3954
Q0KCS7	COG0649
P31909	COG0680
P31914	COG0374
Q0KFE7	COG0321
P31899	COG0298
Q0K9H3	ENOG502Z8QU
Q0K693	COG0107
Q0KFG1	COG0064
Q0K0V6	COG0620
Q0KCG7	COG0443
Q0K6H7	COG1254
Q0K6N1	COG0774
O87816	COG1526
Q0KF42	COG0253
Q0KA28	COG1043
Q0KED0	COG1490
Q0KFR8	COG0593
P31903	COG0409
Q0JYN7	COG1273
Q0K8Z9	COG0361
Q0K9V9	COG0787
Q0KBC7	COG2084
Q0KBT3	COG2935
Q0K8D7	COG0326
Q0KBR7	COG3158
Q0K799	COG0597
Q0KF69	COG1220
P31902	COG0378
Q0K391	COG1712
Q0KCS0	COG0713
Q0K8N0	COG0481
P45805	COG0068
Q0K3S5	COG0119
Q0K6M4	COG0707
Q0K3N2	COG0119
Q0KBC0	COG0125
P50320	COG0126
Q0K971	COG3705
Q0KE17	COG1663
Q9K4V0	COG3604
Q0K4F5	COG1995
Q0KFI5	COG0851
Q0K686	COG0040
Q0JZW8	COG0361
Q0K8S4	COG3895
Q0K7Z0	COG0259
Q0KBC8	COG3395
P31905	COG0309
P40118	COG0464
P31900	COG0298
Q0KA27	COG0764
Q0KCE2	COG0148
Q0K6G3	COG0373
Q04541	COG0637
P31891	COG0374
Q07251	COG2055
Q0KDL8	COG2834
O68273	COG0042
Q0K861	COG1469
Q0KCT8	COG0119
Q0K776	COG0324
Q0KDN9	COG0001
Q0KAQ9	COG0119
P31910	COG0526
P22319	COG1941
P31913	COG1773
P22317	COG1894
Q0K705	COG0289
Q0KBB2	COG1182
Q0KF39	COG0192
P52993	COG0508
Q0K694	COG0139
Q0KA32	COG1806
Q0K4I1	COG3638
Q0K5L6	COG0445
Q59106	COG0567
Q0KF61	COG0548
Q0K5M8	COG0355
Q0K7W8	COG0603
Q0KE93	COG0621
Q0KE68	COG0315
Q0KBC9	COG0235
Q0KCS3	COG1005
Q0K2D1	COG1235
Q9K4U8	COG3604
Q0K6M5	COG0773
Q7WXK8	COG3158
Q0K6M1	COG0472
Q0KCU2	COG0059
Q0KD22	COG1758
Q0K0L8	COG3508
Q0KBZ0	COG0292
Q07252	COG0471
Q0KFF7	COG0721
P23608	COG3243
Q0K815	COG0376
Q0K7X9	COG1878
Q0K645	COG0202
P22320	COG3259
Q0K762	COG0413
Q0KB67	COG2518
Q0K7W0	COG0112
Q0KF16	COG0617
O34162	COG0635
Q0KET8	COG0588
Q0KDL6	COG1063
O07451	COG0068
Q0K967	COG1923
Q0K695	COG0140
Q0K1N8	COG3638
Q0KA02	COG0624
Q0KEN8	COG1493
Q0KCS8	COG0852
Q0KBK6	COG0665
Q0KBK6	COG4121
Q0K640	COG0361
Q0KEB0	COG1452
Q0K958	COG0105
Q0KCS2	COG1143
Q0K685	COG0766
Q0KFG6	COG0486
Q59098	COG0508
Q0KEP7	COG1947
P31898	COG1969
P50319	COG0126
Q0KBD1	COG3622
Q0K8Y7	COG1109
Q0KCS9	COG0377
Q0K606	COG0085
Q0K6P4	COG0261
Q0K959	COG0820
P14697	COG1028
Q0KA43	COG0518
Q0KA43	COG0519
Q0KBP2	COG0621
Q0KEC0	COG0138
Q0K929	COG0254
Q0K637	COG1841
Q0KD64	COG1576
Q59097	COG2609
Q0KBZ3	COG0441
Q0K6A4	COG1970
Q0KCT4	COG1185
P31901	COG0375
Q0K646	COG0203
Q0K669	COG0337
Q0K6Y5	COG0169
Q0KE35	COG0344
Q0K8L8	COG0416
Q0K437	COG3004
Q0K980	COG0120
Q0KDH7	COG0283
P42721	COG1850
Q0K635	COG0256
Q0KED9	COG0102
Q0KD78	COG0335
Q0K7V9	COG1327
Q0K8H3	COG0101
Q0JY21	COG4108
Q0K950	COG0496
Q0KCT5	COG0184
Q0K5C0	COG0759
Q0K6L6	COG0275
Q0KD79	COG0336
Q0K9J4	COG0684
Q0K619	COG0087
Q0K8K6	COG0746
Q0K784	COG3123
Q0KD27	COG0689
Q0K5B8	COG0230
Q0K7K0	COG0073
Q0K7K0	COG0143
Q0K6X3	COG2264
Q0K605	COG0222
Q0KEG8	COG0173
Q0KEC1	COG0817
Q0K926	COG0008
Q0KCG3	COG1190
Q0K9E7	COG0238
Q07259	COG5009
Q0K9C0	COG0858
Q0KA30	COG0164
P40117	COG0036
Q0K963	COG0124
Q0K1E0	COG1850
Q0K620	COG0088
Q0K603	COG0081
Q0KBK5	COG0544
Q0KA19	COG0233
Q0K7S5	COG0220
Q0KFI3	COG0850
Q0KFB0	COG0018
Q0K6V7	COG2974
Q0K8N3	COG0571
Q0K808	COG0008
Q0KBT4	COG0167
Q0KEU1	COG2603
P23537	COG1925
Q0K622	COG0090
Q0K7T9	COG0054
Q0K638	COG0200
Q0K6P5	COG0211
P39185	COG0243
Q0KF45	COG0461
Q0KFE3	COG1540
Q0KE53	COG0152
Q0K7I6	COG0414
Q0KE20	COG0563
Q0K8N6	COG0854
Q0KET5	COG1952
P39186	COG3043
P31911	COG1773
P22318	COG3383
P29267	COG2204
P23516	COG3376
Q0K7D1	COG1228
Q0K6P7	COG0263
Q0KCJ6	COG0276
P28615	COG1508
Q0K6P9	COG0494
Q0K8W6	COG0328
Q0KA18	COG0528
Q0K641	COG0257
Q0K6I0	COG0134
Q0K629	COG0093
Q0K604	COG0244
Q0K632	COG0199
Q0K6N3	COG0653
Q0KEQ0	COG0193
Q0K2U3	COG4525
Q0KDK9	COG0172
Q0KCA9	COG0215
Q0KA36	COG0691
Q0K5C1	COG0706
Q0K626	COG0197
Q0KEH6	COG2226
P21725	COG0021
Q0K9I2	COG1116
Q0KA59	COG0213
Q0K628	COG0186
Q0K8J9	COG1488
Q0KEJ5	COG0780
Q0KEJ5	COG2904
Q0K7B1	COG0267
Q0KA16	COG0052
Q0K610	COG0049
Q0KBZ1	COG0291
Q0K609	COG0048
Q0K613	COG0051
Q0K627	COG0255
Q0KE78	COG0468
P23536	COG1080
Q0K823	COG0013
P21726	COG0021
Q0KEP9	COG1825
Q0K9B7	COG0779
P14611	COG0183
Q0K733	COG0343
Q0K624	COG0091
Q0K630	COG0198
Q0K7X7	COG3483
Q0KAH8	COG0027
Q0K644	COG0522
Q0KEP6	COG3017
Q59105	COG4263
Q0K643	COG0100
Q0K8L7	COG0333
P39662	COG1017
P39662	COG1018
Q0K5L7	COG0357
Q0KA26	COG1044
Q0KE75	COG0045
Q0K621	COG0089
Q0KE95	COG0319
Q0KD80	COG0806
Q0K6P6	COG0536
Q0K634	COG0097
Q0K956	COG2265
Q0KCP3	COG0378
Q0KEA7	COG0030
Q0KCP4	COG0830
Q0K633	COG0096
Q0KCE5	COG0504
Q0K631	COG0094
Q0K951	COG2518
Q0KCU1	COG0688
Q0K3R9	COG0213
Q0K3R9	COG3709
P28613	COG1544
Q0K720	COG0482
Q0K979	COG0176
Q0K6I1	COG0547
Q0KF34	COG0422
Q0KET4	COG0240
Q0K7T8	COG0781
Q9ZHI5	COG0853
Q0K843	COG2271
Q0KBY9	COG0016
Q0KFE0	COG2039
Q0KD81	COG0228
Q0K7B3	COG2003
Q59102	COG4451
Q0K6Y9	COG0284
Q0K7A0	COG0060
Q0K6Q0	COG0442
Q0K0D3	COG4336
Q0KBH3	COG2917
Q0KEC3	COG0632
Q0K734	COG0809
Q0KF70	COG5405
Q0KEC4	COG2255
Q0K698	COG1826
P31912	COG1773
O30332	COG0829
Q0K758	COG0484
Q0K602	COG0080
Q0K9I0	COG2141
Q0K699	COG1826
Q0K845	COG1012
Q04539	COG0036
Q0KF25	COG0499
Q0K7B2	COG0227
Q0KF31	COG2022
Q0KEE2	COG0418
O30334	COG0831
Q0K4W7	COG2827
Q0KD59	COG0217
Q0K020	COG0730
Q0K607	COG0086
Q0KCT2	COG0149
Q0KFB3	COG5487
Q0K642	COG0099
Q0KB74	COG1615
Q0K6Y1	COG3161
Q0K9E5	COG0360
Q0KCP7	COG0832
O30338	COG2371
Q0K862	COG0533
Q0K7N0	COG0816
Q0K710	COG0014
Q0K6N8	COG4582
Q0K769	COG0150
Q0K625	COG0092
P40289	COG2365
P27750	COG0095
Q0JZT9	COG0075
Q0K9E8	COG0359
Q0K889	COG0207
Q0K4I4	COG1671
P59927	COG0629
Q0KE18	COG2835
Q0KA11	COG0272
P31640	COG4147
Q0K636	COG0098
Q0KF47	COG2944
Q0K0W4	COG3093
Q59101	COG0191
Q0K2W0	COG0583
Q0K0L3	ENOG50317K4
Q0K7Z8	COG0318
Q0K1N6	COG0583
Q0KCY5	COG1062
Q0K910	COG2828
Q0K910	COG3181
Q0K650	COG0113
Q0K6J2	COG0834
Q0KDB5	COG0251
Q0KD88	ENOG5032H6K
Q0KDC2	COG1282
Q0K8D2	COG0697
Q0K9I4	COG3545
Q0KAX4	COG1529
Q7WXI5	ENOG5033W3G
Q0KDZ7	COG3501
Q0KDZ7	COG4253
Q0KB53	ENOG5030U5K
Q0K196	COG3181
Q0JZG4	COG2963
Q0K189	COG1073
Q0KEQ7	COG0552
Q0KCV7	COG3127
Q0JZT1	COG3564
Q0K4P1	COG0840
Q0K4I8	COG1802
Q0K660	COG0019
Q0K7G7	COG0318
Q0K3Q3	COG2226
Q0K6Q2	COG3751
Q0K0Q3	COG1062
Q0K9X1	COG4172
Q7WXF8	COG0553
Q0K156	COG2141
Q0K0A8	COG0642
Q0K3Q7	COG0784
Q0K3Q7	COG2205
Q0KEL7	COG3181
Q0K715	COG1282
Q0KF32	COG2104
Q0K8M4	ENOG5033VQ9
Q0KF35	COG1960
Q0JY47	COG1414
Q0KEN2	COG1934
Q0K795	COG3181
Q0JZG2	COG0583
Q0K2N0	COG2386
Q0K8L5	COG0424
Q0KE15	COG0811
Q7WWZ7	ENOG5033VBN
Q0KD10	COG3042
Q0K316	COG1319
Q0K4Z7	COG3203
Q0K9R5	COG0471
Q0KBS2	COG0683
Q0K6F6	COG1748
Q0K3C5	COG2719
Q0K412	COG0757
Q0K6B8	ENOG50339CK
Q0K2U5	COG0715
Q0K359	COG0322
Q0K359	COG0847
Q7WXP1	COG0375
Q0K7U7	COG4970
Q0KA41	COG0516
Q0KA41	COG0517
Q0KDY2	COG1894
Q0K0U6	COG0402
Q0K8M0	COG0331
Q0K5J2	COG1309
Q0K6J0	COG2050
Q0K6K0	COG0601
Q0KFC1	ENOG5030WY9
Q0KDY7	COG1961
Q0K093	COG3485
Q0KA87	COG2391
Q7WXM9	COG0375
Q0KAU3	COG1252
Q0KAL5	COG4977
Q0K4K9	COG1749
Q0K0W7	ENOG5033WGX
Q0KAD8	COG3540
Q7WXG1	ENOG50344RC
Q0KAP1	COG3547
Q0KEJ6	COG3659
Q0K3I3	COG0318
Q7WXR4	COG0582
Q0KDZ3	COG0583
Q0KBX2	COG0583
Q0K3Y9	COG1804
Q0JYT5	COG0154
Q0K4I0	COG3221
Q0K4S3	COG0183
Q0K3M0	COG0583
Q0K2X7	ENOG5033SKC
Q0K7X0	COG2199
Q0K7X0	COG2200
Q0K7X0	COG2202
Q0KBD5	COG0657
Q0K8Z1	COG1117
Q0KA78	COG1734
Q0KD57	COG0035
Q0K6J4	COG1126
Q0K912	COG1538
Q0K725	COG2353
Q0K259	COG4608
Q0K6Q4	COG0634
Q0KCM4	COG3022
Q0K8K1	COG1055
Q0K0K6	COG1020
Q0K7Q7	COG2244
Q0K2W2	COG1295
Q0KEI5	COG0714
Q0KF67	COG4567
Q0KCN9	COG1960
Q0JZM0	ENOG50346FP
Q0K0Q6	COG2913
Q7WX05	ENOG5032QX0
Q0KC63	COG3173
Q0K8J3	COG1960
Q0JYJ4	COG3211
Q0K2R6	COG1414
Q0K258	COG0444
Q0KF57	COG2226
Q0KDM9	ENOG5034010
Q0KEN9	ENOG5032ZDU
Q0JZT8	COG0697
Q0JZ97	ENOG50342AR
Q0JZG0	COG1846
Q0K7C7	COG2188
Q0K7V5	COG3419
Q0K2M5	COG3088
Q0KAK4	COG1209
Q0K4Q4	COG0456
Q0KBY2	COG3542
Q0JZJ9	COG5001
Q0K2J9	COG0405
Q0K0G7	COG1802
Q0K486	COG1024
Q0K7C9	COG2987
Q0KCR4	COG5319
Q7WX79	ENOG502ZESX
Q0JY80	COG0583
Q0JY25	COG0129
Q0K076	COG0583
Q0KCG8	COG1076
Q0KF26	COG0351
Q0KC34	COG0183
Q0K8X6	COG0824
Q0K5Q0	COG3245
Q0KDU7	COG4149
Q0KAM0	COG1898
Q0K429	COG0531
Q0K429	COG0683
Q0K0D6	COG4285
Q0K6D2	COG2080
Q0KFJ1	ENOG50341QA
Q0K3Z5	COG3181
Q0K9I9	ENOG5032VVZ
Q0K008	COG0633
Q0K562	ENOG5032ASY
Q0K9Q5	COG0583
Q0K2U4	COG4521
Q0KEH7	COG3536
Q0K1X5	COG3653
Q0K358	COG2814
Q0KDA6	COG0183
Q0K219	COG0560
Q0K458	COG3181
Q0JYH3	ENOG5032ZWP
Q7WX58	COG3022
Q0K9Z2	COG3181
Q0K3U3	COG3511
Q0JZR1	COG0583
Q0K044	COG3181
Q0K1S6	ENOG502ZR40
Q0JYP3	COG2204
Q0K0C3	COG1893
Q0K3P5	COG0845
Q0K783	COG0078
Q0K3Y6	COG1473
Q0K484	COG3181
Q0KDD6	COG3268
Q0KB80	ENOG502Z8JG
Q0K7L0	ENOG5033C8N
Q0KEC7	COG1738
Q7WXJ7	ENOG5033A3X
Q0K4W6	COG1764
Q0K908	COG0583
Q0KEL4	COG5455
Q0K0J3	COG1028
Q0KFL2	ENOG50309D6
Q0K4T3	COG0457
Q0KD04	COG3310
Q0KAV0	COG0300
Q0KB09	COG1246
Q0KDW9	COG3157
Q0K0B8	COG1846
Q0KD47	COG1529
Q0KCA5	COG0527
Q0K7C1	COG4992
Q0KBY1	ENOG5033ZCW
Q0KAD3	COG0246
Q0KCX5	COG3203
Q0KBN0	COG1211
Q0JYS9	COG0739
Q0JYS9	COG2931
Q0K2N2	COG1017
Q0K335	COG0590
Q0K1T9	COG0745
Q7WWT0	COG3547
Q0K0Q7	COG3243
Q0K1A5	COG0589
Q0KAK2	COG1835
Q0K5P0	COG1764
Q0K3X5	COG0410
Q0JYD4	COG3203
Q0KAB7	COG2144
Q0K2A8	COG1028
Q0JYE7	COG2207
Q0JZ14	COG2141
Q0KA03	COG1393
Q0K0D2	COG2271
Q0K722	COG0015
Q7WXG3	COG3609
Q0K4N6	COG1291
Q0KBY6	COG0789
Q0K4T5	COG4965
Q0K038	COG2945
Q0K4L4	COG2747
Q0K0S2	COG3246
Q0K4Y4	COG3203
Q7WXA1	COG4243
Q0KBW6	COG0339
Q0JZE3	COG1309
Q0KBG7	COG4177
Q0JZ34	COG0775
Q0K0M3	COG0726
Q0K4C8	COG3181
Q0K202	COG0277
Q0K882	COG0501
Q0KEM3	COG1839
Q0KCV9	COG1910
Q0KCV9	COG2005
Q7WXH5	COG3436
Q0K4B6	COG1042
Q0JYS2	COG3474
Q0K168	COG1167
Q0K0N6	COG0583
Q0KA65	COG0589
Q0K5N0	COG0657
Q0KB15	COG2207
Q0K1G7	COG0427
Q0JYG0	COG3157
Q0K9X7	ENOG5033RJP
Q0KAG1	COG2079
Q0KAP3	ENOG502ZTIB
Q0K138	COG4158
Q0K222	COG1309
Q0K357	COG3181
Q0K3L3	COG0346
Q0KBB8	COG3215
Q0K9H1	COG4177
Q0K302	COG0583
Q0JZM2	COG3224
Q0KB05	COG0667
Q0K2F5	COG3125
Q0KE47	COG2027
Q0KA04	ENOG5033V8S
Q0KEL1	ENOG5031669
Q0JZB0	ENOG50318BZ
Q0K1G6	COG0183
Q0KD63	COG0799
Q0K8T8	ENOG5032KMV
Q0K4C5	COG3181
Q0K3W9	COG0665
Q0K2V1	COG1593
Q7WXT7	COG3385
Q0K2J0	COG1733
Q7WX33	ENOG503396R
Q0JYS0	COG2761
Q0K454	COG2175
Q0JZW9	ENOG50343Z2
Q0KCL3	COG1670
Q0KEK1	COG1538
Q0K0H0	COG1893
Q0K028	COG1960
Q0K611	COG0480
Q0KD68	ENOG50335F7
Q0KD77	COG0494
Q0KDE6	COG0784
Q0KDE6	COG2202
Q0KDE6	COG2205
Q7WWZ0	ENOG5030VZA
Q0K791	COG2764
Q0K071	COG3181
Q0KA91	COG2326
Q0K456	COG1024
Q0K2J5	COG3185
Q0K9U4	COG4948
Q0KC90	COG0559
Q0K1H5	COG2151
Q0K1H5	COG3677
Q0K809	COG1804
Q0KEV2	COG2960
Q0KEU2	COG2193
Q0K9N6	COG5569
Q0KEM7	COG0693
Q0K943	COG0715
Q0K7L8	COG4664
Q0K847	COG5473
Q0K4U0	COG4961
Q0K1D8	COG2717
Q0KFL7	ENOG5033PIT
Q0KBE5	COG1335
Q0KA84	COG2217
Q0KD08	COG1167
Q0KCV6	COG2346
Q0K7T7	COG0436
Q0K152	COG2327
Q0K881	COG1162
Q7WXS2	COG4974
Q0KCA0	COG3485
Q0K459	COG1414
Q0K880	ENOG5032Y5P
Q0K7P7	COG0438
Q0K128	COG3181
Q0KEJ9	COG1131
Q0KDP0	COG1704
Q0KC73	COG2721
Q0KCV1	COG0438
Q0JYP1	COG4221
Q0KFN0	COG1247
Q0K3C7	COG2766
Q0K103	COG1012
Q0K5E3	COG2050
Q0K8K4	ENOG5032SQZ
Q0JY29	COG0745
Q0KB94	COG4313
Q7WWU1	COG0583
Q0K348	COG0735
Q0KEN3	COG1137
Q0K656	COG1595
Q0KC22	COG0655
Q0KC58	COG4786
Q0JZB7	COG3181
Q0K3T9	COG1719
Q0K3T9	COG3829
Q0K147	COG4771
Q0K2W3	COG0523
Q0K8J8	ENOG5033SPR
Q0K7E0	COG0657
Q0K3Y7	ENOG502Z7NA
Q0K026	COG0715
Q0K9C6	COG1414
Q0K4J0	COG0451
Q0K2N6	COG3276
Q0K8L3	COG0616
Q0KCB0	COG0457
Q0KE54	COG0191
Q0KBM7	COG0599
Q0K9K7	COG2225
Q0JZ21	COG3258
Q0K867	COG0568
Q0K9F2	COG0791
Q0KEH0	COG2331
Q0KEF0	COG0334
Q0K831	COG2816
Q0K174	COG1294
Q7WSB2	COG1960
Q0K236	COG0664
Q0K401	COG2421
Q0KET3	COG3181
Q7WXP5	COG0298
Q0K550	COG2085
Q7WXN8	COG3333
Q0K3K8	COG0583
Q0KBR4	COG2197
Q0KBR4	COG2267
Q0KEJ0	COG2154
Q0KEA3	COG1451
Q0KBR0	COG1807
Q0JYW5	COG2010
Q0K3Z9	COG0156
Q0KF52	COG2050
Q0K821	COG3556
Q0K276	COG1502
Q0K3N5	ENOG503320V
Q0K6Q1	COG0741
Q0K1P9	COG3627
Q0K7G5	COG3181
Q0K7I8	ENOG5032ZFH
Q0K000	COG3631
Q0K2E8	COG2207
Q0K394	COG1414
Q0K3M1	COG3181
Q0KEZ9	COG1167
Q0JY83	COG0644
Q0K022	COG0028
Q0KBL6	COG0444
Q0JYC8	COG1173
Q0JZM7	COG1396
Q0JZM7	COG3837
Q0KAV6	COG2801
Q0KCU0	COG1183
Q0K925	COG1752
Q0K5M2	ENOG5032S3K
Q0KBW4	COG3235
Q0K839	COG1802
Q0K7R7	COG0607
Q0JY87	COG0840
Q0JY87	COG4564
Q0KD00	ENOG5032SHH
Q0JZJ2	COG3706
Q7WXT4	COG2963
Q0K2C8	COG3284
Q0JZH9	ENOG5031WHT
Q0K5J5	COG2608
Q0K5Y8	COG1018
Q0K8Y8	COG0226
Q0KBW3	COG4566
Q0K048	COG1414
Q0K5C6	COG2207
Q0KAE0	COG3644
Q0K877	COG0583
Q0JY35	COG0654
Q0K3Y8	COG0583
Q7WWT9	COG3181
Q0KDL3	ENOG5033T7G
Q0K113	COG2080
Q0K1U2	COG0664
Q0KE82	COG0477
Q0KFB9	COG0646
Q0KES4	ENOG5033AS4
Q0K0L7	COG3620
Q0KAQ0	COG5572
Q0K184	COG0243
Q0K184	COG3383
Q0JYN4	COG3662
Q0K6S1	COG5265
Q7WXM2	COG2801
Q7WWX6	COG3505
Q0K6N6	COG0494
Q0K7A4	COG0299
Q0KC66	COG3288
Q0K9D0	COG1846
Q0JYE4	COG4120
Q0KFJ3	COG1846
Q0K5R1	COG0469
Q0K0K7	COG4615
Q0K514	COG0583
Q0KB45	COG1167
Q0KA55	COG2823
Q0K0G4	COG1595
Q0JYF9	COG3517
Q0JZ74	COG0451
Q0K8Q0	COG0848
Q0K6K9	COG0318
Q0K9G2	COG0314
Q0K375	COG1960
Q7WX02	COG2340
Q0KAM3	COG0707
Q0K3J9	COG5361
Q0KAX8	COG1024
Q0K1W4	COG0583
Q0KC37	COG1804
Q0KBM5	COG0477
Q0K580	COG1086
Q0K879	COG1270
Q0K4D2	COG0488
Q0K822	COG1804
Q0K668	COG0703
Q0K8Y1	COG0782
Q0JZS6	COG1055
Q0K740	COG0345
Q0KDF7	COG0665
Q0KED3	COG2377
Q0K6H1	COG1651
Q0K6N4	COG1364
Q0JZV8	COG5490
Q0KDB7	COG0665
Q0K0E8	COG0369
Q0K0E8	COG1145
Q0K2J7	COG1804
Q0JZC7	COG0583
Q0KEX0	COG3411
Q0K041	COG2303
Q0K085	COG0834
Q0K3T6	ENOG5032S7J
Q0KD62	COG1057
Q0K736	COG0583
Q0KBM6	COG0450
Q0KFL4	COG0789
Q0K919	COG0623
Q0KEM1	COG0178
Q0KFH2	COG0583
Q0KE11	COG0845
Q0KCL6	COG1012
Q0KA44	COG0659
Q0K6T8	ENOG502ZRPS
Q7WX93	COG1277
Q0K3Y5	ENOG5032SUR
Q0K3X4	COG0559
Q0K3G4	COG1028
Q0KC46	COG3637
Q0KFF2	COG0772
Q0KB82	COG2304
Q0K9J6	COG2267
Q0K6C1	COG1487
Q0KEZ6	COG0346
Q0K3U0	COG3181
Q0K789	COG1187
Q0KAK5	COG2244
Q0K9K4	COG0589
Q0K4R8	COG0583
Q0K9A6	COG3278
Q0K726	COG0500
Q0K1N2	COG3544
Q0JYA9	COG0726
Q0K6Z7	COG1385
Q0KBQ9	COG0745
Q0K5Y4	COG2249
Q0K3B2	COG1309
Q0JZF2	COG3188
Q0K7W3	COG0848
Q0KCP1	ENOG5033Z9W
Q0K2H6	ENOG5033W0D
Q0KEI6	COG3552
Q0K7G4	COG1593
Q0JZ55	COG2205
Q0K0T5	COG1409
Q0K129	COG0583
Q0K072	COG3181
Q0K647	COG1324
Q0KEN1	COG3117
Q0KB96	COG0204
Q0K7A5	COG0144
Q0JYA5	ENOG5030AG5
Q0JZS1	COG2205
Q7WXD3	COG2974
Q0K7S7	COG0583
Q0K3A2	COG2323
Q0KDN2	ENOG503310H
Q0K8C1	COG2814
Q0JYB5	COG3181
Q0KCD9	COG1281
Q0K5S5	COG0624
Q0K5U7	COG3258
Q0K9J7	COG2224
Q0KD85	COG2314
Q0JYN0	COG1345
Q0K2Z7	COG1283
Q0K7K6	COG3381
Q0K6X2	ENOG5032X19
Q0K0Q9	COG0282
Q0K3K5	COG4585
Q0K2L3	COG1454
Q0K025	COG0600
Q7WX56	COG4974
Q0KFJ0	COG3181
Q0KCX3	COG0726
Q0K3T8	ENOG50333VN
Q0K696	COG3671
Q0JZ61	ENOG5032YK1
Q0K558	ENOG50303WG
Q0K3G8	COG1024
Q0K3E1	COG0583
Q0KD02	COG0640
Q0K0W6	COG0178
Q0K0Q4	ENOG50340UJ
Q0K8S2	ENOG50333Y3
Q0KAU7	COG0526
Q0KAU7	COG0785
Q0K7B4	COG1047
Q0K3G2	COG1960
Q0K977	COG0566
Q0K4V7	COG5285
Q0KFA4	COG0789
Q0KDA2	COG0183
Q0K5W1	COG0346
Q0K0J2	COG1846
Q0JZI5	COG1012
Q0K5C8	COG2303
Q0K037	COG3264
Q7WX25	ENOG5033KFD
Q0KAF3	COG0518
Q0KAW3	COG0624
Q0K3U5	COG3181
Q0K1P7	COG3625
Q0KEM8	COG4321
Q0K7T2	COG4553
Q0KAF6	COG2050
Q0KET9	COG0793
Q0JY31	COG1052
Q7WXD7	COG3945
Q0K0T1	COG5621
Q0KE97	COG0815
Q0KD99	ENOG50345P2
Q0K404	COG2207
Q0K404	COG2421
Q0K9F4	COG1875
Q0KE39	COG0841
Q0KF84	COG0111
Q0K9I3	COG2200
Q0K9M5	COG0651
Q0KEX3	COG2204
Q0KF92	COG4799
Q0JYB7	COG3077
Q0KDL0	COG2256
Q0K932	COG3118
Q0K5F8	COG2879
Q0K2L0	COG0583
Q0K7I7	COG1354
Q0K6B6	COG0154
Q0K916	ENOG5033IZA
Q0KCW2	COG4630
Q0K017	ENOG50346NB
Q0KBB1	COG0583
Q0K3F6	COG1902
Q0K1N3	COG1680
Q0K254	COG5476
Q7WWV6	COG2814
Q0JYY9	ENOG502ZJ1W
Q0KDB8	COG1231
Q0K445	COG0730
Q0K0G6	COG0697
Q0K448	COG0179
