A0A4P6X2R8	HPF_22965
A0A4P6WZ27	HPF_15180
A0A4P6X8U2	HPF_20945
A0A4P6X0D1	HPF_10695
A0A4P6WXY7	HPF_00930
A0A4P6X8D9	HPF_19990
A0A4P6X1E7	HPF_06950
A0A4P6X422	HPF_19765
A0A4P6X494	HPF_18325
A0A4P6X317	HPF_17675
A0A4P6WZX7	HPF_09830
A0A4P6X3J6	HPF_17155
A0A4P6WZJ7	HPF_16360
A0A4P6WVU4	HPF_10115
A0A4P6X190	HPF_06590
A0A4P6WUE3	HPF_04855
A0A4P6WVY3	HPF_01265
A0A4P6X6G3	HPF_16550
A0A4P6WX19	HPF_04165
A0A4P6WSZ1	HPF_04405
A0A4P6WW11	HPF_10580
A0A4P6WZV3	HPF_11220
A0A4P6WYT7	HPF_08985
A0A4P6X1U7	HPF_08195
A0A4P6X569	HPF_19035
A0A4P6WVD1	HPF_07220
A0A4V1ABS3	HPF_14780
A0A4P6X0L9	HPF_10400
A0A4P6WT93	HPF_04965
A0A4P6X2K0	HPF_13530
A0A4P6X131	HPF_18800
A0A4P6X5V6	HPF_19810
A0A4P6X2I2	HPF_13430
A0A4P6WWU6	HPF_03070
A0A4P6WVG4	HPF_07080
A0A4P6WUF7	HPF_07245
A0A4P6WSZ8	HPF_02025
A0A4P6WUU4	HPF_08000
A0A4P6WZZ2	HPF_09930
A0A4P6X6T2	HPF_22305
A0A4P6X418	HPF_12160
A0A4P6X020	HPF_10080
A0A4P6WUF4	HPF_05345
A0A4P6X4Z3	HPF_21870
A0A4V1ABU8	HPF_16090
A0A4P6WXN9	HPF_04285
A0A4P6X4G4	HPF_17270
A0A4P6X206	HPF_15715
A0A4P6X1E3	HPF_12815
A0A4P6WXP9	HPF_05585
A0A4P6WYS5	HPF_06455
A0A4P6X209	HPF_21435
A0A4P6X5Z4	HPF_21950
A0A4P6WYI1	HPF_08235
A0A4V1ABV6	HPF_16495
A0A4P6WTH2	HPF_02980
A0A4P6WZ47	HPF_14870
A0A4P6WXT9	HPF_05890
A0A4P6X4H1	HPF_13145
A0A4P6WT68	HPF_04815
A0A4P6WS07	HPF_02640
A0A4P6X3Y1	HPF_19505
A0A4P6WUZ6	HPF_08250
A0A4P6WVC9	HPF_06880
A0A4P6WWR9	HPF_04325
A0A4P6WZV2	HPF_08630
A0A4P6WSL8	HPF_01575
A0A4P6WU70	HPF_04445
A0A4P6X3F9	HPF_15750
A0A4P6X699	HPF_22600
A0A4P6WVK5	HPF_02625
A0A4P6X5F3	HPF_14890
A0A4P6X1B2	HPF_19955
A0A4P6WTC4	HPF_03120
A0A4P6WXR4	HPF_11925
A0A4P6WZL9	HPF_10715
A0A4P6WX32	HPF_04935
A0A4P6X6B1	HPF_16485
A0A4P6X9R2	HPF_22695
A0A4P6X4S4	HPF_19485
A0A4P6WXZ9	HPF_06190
A0A4P6X1H1	HPF_12010
A0A4V1AB69	HPF_04460
A0A4P6WYJ4	HPF_01980
A0A4P6X5E7	HPF_20700
A0A4P6WYY3	HPF_16990
A0A4P6WYE5	HPF_01395
A0A4P6WXL3	HPF_11575
A0A4P6X244	HPF_14335
A0A4P6X0T2	HPF_10410
A0A4P6WXC0	HPF_05340
A0A4V1AAZ4	HPF_00690
A0A4P6X1E4	HPF_14355
A0A4P6WXH3	HPF_06105
A0A4P6X334	HPF_22830
A0A4P6WVC0	HPF_00600
A0A4P6WYI2	HPF_07160
A0A4P6X2C1	HPF_16475
A0A4P6X284	HPF_13220
A0A4P6X5N0	HPF_15450
A0A4P6X3A6	HPF_11180
A0A4P6X0I6	HPF_06065
A0A4P6WWP5	HPF_04540
A0A4P6X9R7	HPF_23135
A0A4V1ABV5	HPF_16440
A0A4P6X7P5	HPF_18670
A0A4V1AC14	HPF_19425
A0A4P6X8M1	HPF_20930
A0A4P6X3F7	HPF_18395
A0A4P6WYY2	HPF_02045
A0A4P6WUT5	HPF_07950
A0A4V1ABW3	HPF_16845
A0A4P6WXJ7	HPF_05740
A0A4P6WYB3	HPF_06810
A0A4P6WVE1	HPF_07270
A0A4P6X2I9	HPF_09600
A0A4V1AB56	HPF_03800
A0A4P6WW42	HPF_02250
A0A4V1ABT6	HPF_15460
A0A4P6WVH6	HPF_07470
A0A4P6WUG9	HPF_05005
A0A4P6X6D6	HPF_21535
A0A4P6WY04	HPF_12775
A0A4P6WUD8	HPF_07140
A0A4P6X1H8	HPF_13015
A0A4P6WS26	HPF_02740
A0A4P6WYQ6	HPF_07520
A0A4P6X5Q1	HPF_21375
A0A4P6X7H4	HPF_18320
A0A4P6X358	HPF_22930
A0A4P6WX62	HPF_10670
A0A4P6WVP9	HPF_07590
A0A4P6WUV0	HPF_01105
A0A4P6WWA8	HPF_01965
A0A4V1AC16	HPF_19530
A0A4V1AB21	HPF_02040
A0A4P6WZ14	HPF_07965
A0A4P6X136	HPF_11060
A0A4P6X0N7	HPF_10095
A0A4V1ABH8	HPF_09970
A0A4P6X2E5	HPF_09350
A0A4P6X4J6	HPF_20920
A0A4P6X0H2	HPF_09795
A0A4P6WVN6	HPF_02775
A0A4P6X3L6	HPF_18745
A0A4P6X830	HPF_19380
A0A4P6X6W5	HPF_21440
A0A4P6WWL5	HPF_09445
A0A4P6WZS4	HPF_09520
A0A4V1ABP0	HPF_13105
A0A4P6X6M3	HPF_17085
A0A4P6X0X3	HPF_05830
A0A4P6WX14	HPF_04835
A0A4P6WZ28	HPF_09590
A0A4P6WZA0	HPF_17740
A0A4P6WVP0	HPF_07540
A0A4P6X1A4	HPF_19905
A0A4P6WWL0	HPF_09680
A0A4P6WZE5	HPF_08715
A0A4P6WYW4	HPF_14700
A0A4P6X2N3	HPF_13690
A0A4V1ABY6	HPF_17995
A0A4P6X0Z6	HPF_11955
A0A4P6X367	HPF_17925
A0A4P6WZI1	HPF_10515
A0A4P6X7B4	HPF_22265
A0A4V1ABB7	HPF_06895
A0A4P6WSW6	HPF_02260
A0A4P6WTQ4	HPF_03870
A0A4P6X0L0	HPF_17880
A0A4P6WVY0	HPF_03280
A0A4P6WZY3	HPF_09880
A0A4P6X2Y9	HPF_16100
A0A4V1ABF2	HPF_08655
A0A4P6WTT6	HPF_06020
A0A4P6WV02	HPF_06060
A0A4P6WRT6	HPF_00210
A0A4P6X1V4	HPF_20525
A0A4V1AB14	HPF_01690
A0A4P6X4S1	HPF_13510
A0A4P6WTB4	HPF_03065
A0A4P6WZM2	HPF_16515
A0A4P6X1P9	HPF_13415
A0A4P6X1R0	HPF_07995
A0A4P6X160	HPF_21515
A0A4P6X6T0	HPF_17200
A0A4P6X8L0	HPF_20880
A0A4P6X9Q8	HPF_23085
A0A4P6WYV9	HPF_02635
A0A4P6X0F1	HPF_04825
A0A4P6X2P5	HPF_09960
A0A4P6WWX7	HPF_05000
A0A4P6WZA6	HPF_03490
A0A4P6WZC0	HPF_17840
A0A4P6X127	HPF_19445
A0A4P6X2Z0	HPF_10075
A0A4P6X2N2	HPF_17025
A0A4P6WWC5	HPF_11285
A0A4P6X0Z8	HPF_06030
A0A4P6WQP3	HPF_00235
A0A4P6WXB8	HPF_04725
A0A4P6X1K9	HPF_22385
A0A4P6WSV1	HPF_02160
A0A4P6WWC4	HPF_02065
A0A4P6X2G8	HPF_09010
A0A4P6WZ29	HPF_17290
A0A4P6X7D4	HPF_18150
A0A4P6X0F3	HPF_09685
A0A4P6X5G6	HPF_20800
A0A4V1AB29	HPF_02445
A0A4P6X090	HPF_17230
A0A4P6X1P2	HPF_07895
A0A4P6X1X1	HPF_12720
A0A4P6X695	HPF_16380
A0A4P6X0U5	HPF_10560
A0A4V1ABF6	HPF_08855
A0A4P6WRZ8	HPF_02590
A0A4P6WVZ7	HPF_02000
A0A4V1AB51	HPF_03550
A0A4P6WUJ8	HPF_05160
A0A4P6X371	HPF_16555
A0A4P6X4X1	HPF_13825
A0A4P6X208	HPF_20875
A0A4P6X2E4	HPF_13470
A0A4P6WZI2	HPF_03000
A0A4V1ABV7	HPF_16545
A0A4P6WXS3	HPF_05735
A0A4P6X0A1	HPF_17715
A0A4P6X0B8	HPF_17380
A0A4P6X0W0	HPF_18990
A0A4P6WX51	HPF_12850
A0A4P6WWL3	HPF_02620
A0A4P6WW02	HPF_03430
A0A4P6WZD6	HPF_08665
A0A4P6WZR9	HPF_11015
A0A4P6X1Q7	HPF_15090
A0A4P6WU39	HPF_06580
A0A4P6WVG5	HPF_09255
A0A4P6X1B1	HPF_14150
A0A4P6X9D2	HPF_22480
A0A4P6X2D9	HPF_14895
A0A4P6WY69	HPF_12840
A0A4P6X4K7	HPF_17960
A0A4P6X1K7	HPF_07695
A0A4P6WYX1	HPF_14750
A0A4P6X4C3	HPF_17560
A0A4P6WZQ2	HPF_10915
A0A4P6WW00	HPF_08475
A0A4P6X7F1	HPF_18215
A0A4P6X1Q1	HPF_22635
A0A4P6X6K9	HPF_20815
A0A4P6X0U1	HPF_10460
A0A4P6WXE4	HPF_05955
A0A4P6WRZ4	HPF_00560
A0A4P6WWY3	HPF_10455
A0A4V1ABQ8	HPF_14020
A0A4V1ABA4	HPF_06225
A0A4V1ABI0	HPF_10070
A0A4P6X5A0	HPF_14770
A0A4P6X391	HPF_10690
A0A4P6WU33	HPF_04685
A0A4P6WYH2	HPF_07155
A0A4V1AC55	HPF_21520
A0A4P6X5Z9	HPF_20010
A0A4P6WYL2	HPF_08435
A0A4P6X2W3	HPF_17425
A0A4P6WVI6	HPF_07525
A0A4P6X167	HPF_19705
A0A4V1ABK0	HPF_11090
A0A4P6WU91	HPF_06890
A0A4P6WYM6	HPF_06200
A0A4P6WXP3	HPF_06560
A0A4P6X2E3	HPF_08860
A0A4P6WSV8	HPF_02210
A0A4P6WZM6	HPF_09270
A0A4P6X169	HPF_21585
A0A4P6WTJ6	HPF_03135
A0A4P6X5K3	HPF_19850
A0A4P6WW52	HPF_08390
A0A4P6X5I8	HPF_19095
A0A4P6WZM0	HPF_08520
A0A4P6X0Y1	HPF_18450
A0A4P6WXG6	HPF_05590
A0A4P6X546	HPF_18885
A0A4V1AB50	HPF_03500
A0A4P6X550	HPF_18340
A0A4P6WTK4	HPF_03185
A0A4P6WUG7	HPF_00455
A0A4P6WXK3	HPF_13765
A0A4P6WVI8	HPF_02055
A0A4P6WTE6	HPF_03220
A0A4P6X0N2	HPF_10450
A0A4P6X2X9	HPF_10475
A0A4P6X2Y7	HPF_14295
A0A4P6WY70	HPF_15205
A0A4P6X343	HPF_10825
A0A4P6WYL6	HPF_13650
A0A4P6X2Z6	HPF_14350
A0A4P6X0X6	HPF_20985
A0A4P6X875	HPF_19690
A0A4P6X2T4	HPF_23065
A0A4P6WYP9	HPF_13855
A0A4P6X979	HPF_21695
A0A4P6WVT0	HPF_03025
A0A4P6WZF2	HPF_16005
A0A4P6WV66	HPF_08650
A0A4P6WZE6	HPF_17990
A0A4P6X572	HPF_14615
A0A4V1ABY4	HPF_17895
A0A4P6WUI2	HPF_00420
A0A4P6X459	HPF_17210
A0A4P6X5U6	HPF_19760
A0A4P6X7M2	HPF_22870
A0A4P6WUL9	HPF_00755
A0A4P6X5T8	HPF_19710
A0A4P6WYF9	HPF_13290
A0A4V1AC03	HPF_18870
A0A4P6WZN3	HPF_16075
A0A4P6X9L0	HPF_22835
A0A4P6WYX2	HPF_09235
A0A4P6WYL0	HPF_13600
A0A4P6WXX7	HPF_06090
A0A4P6X0A7	HPF_04565
A0A4P6X3K8	HPF_16055
A0A4P6X339	HPF_14950
A0A4P6X4L4	HPF_19080
A0A4V1AB22	HPF_02090
A0A4P6WV14	HPF_01455
A0A4V1ABS2	HPF_14730
A0A4P6X2X3	HPF_09975
A0A4P6WV75	HPF_06915
A0A4P6WXL0	HPF_05790
A0A4P6WVS7	HPF_00965
A0A4P6X7L7	HPF_18910
A0A4V1ABA1	HPF_06075
A0A4P6X769	HPF_17850
A0A4P6WVQ8	HPF_07640
A0A4P6X0K6	HPF_09945
A0A4P6X6Y5	HPF_21545
A0A4P6X255	HPF_16070
A0A4P6WYL3	HPF_02080
A0A4P6X2V2	HPF_09825
A0A4P6WVM0	HPF_00665
A0A4P6WZ10	HPF_06970
A0A4P6X195	HPF_19855
A0A4P6X2C5	HPF_02030
A0A4P6X2C5	HPF_21560
A0A4P6X5K1	HPF_15115
A0A4P6X3A1	HPF_15010
A0A4P6X0L3	HPF_06215
A0A4P6WXV3	HPF_06925
A0A4P6X1G6	HPF_14505
A0A4P6WYB7	HPF_05600
A0A4P6X019	HPF_08980
A0A4V1AC82	HPF_22895
A0A4P6X5V4	HPF_21700
A0A4V1ABE3	HPF_08205
A0A4P6X0K9	HPF_05180
A0A4P6WUX9	HPF_05910
A0A4P6X509	HPF_14025
A0A4P6X0E6	HPF_20030
A0A4V1AC58	HPF_21690
A0A4P6WXX5	HPF_04790
A0A4V1ABJ4	HPF_10785
A0A4P6WXY9	HPF_14675
A0A4P6X7I4	HPF_18705
A0A4P6WYZ5	HPF_17090
A0A4P6WXY4	HPF_06085
A0A4V1AB55	HPF_03750
A0A4P6WTA5	HPF_03015
A0A4P6X538	HPF_14175
A0A4P6WXF0	HPF_11175
A0A4P6X5A6	HPF_14820
A0A4P6X1Z3	HPF_20775
A0A4P6X9W6	HPF_22950
A0A4P6X0Q1	HPF_20685
A0A4P6X046	HPF_19420
A0A4P6WZ80	HPF_08315
A0A4P6X5G4	HPF_19600
A0A4P6X5C8	HPF_14735
A0A4P6WZ12	HPF_15075
A0A4P6X2W6	HPF_14490
A0A4P6WZE1	HPF_02800
A0A4P6WYU9	HPF_07770
A0A4P6X3R9	HPF_16405
A0A4P6WWV4	HPF_10055
A0A4V1ABD7	HPF_07905
A0A4P6WZK3	HPF_08080
A0A4P6X0B9	HPF_17815
A0A4P6X2D2	HPF_14840
A0A4P6WXP7	HPF_04335
A0A4P6WZA3	HPF_08220
A0A4P6WXR6	HPF_06725
A0A4P6WVR7	HPF_00915
A0A4P6WVD7	HPF_06930
A0A4V1ABR1	HPF_14170
A0A4P6WX34	HPF_05305
A0A4P6WZP6	HPF_04400
A0A4P6X0A8	HPF_09435
A0A4P6WY82	HPF_07685
A0A4P6WZB5	HPF_10100
A0A4P6X1D4	HPF_12765
A0A4P6X510	HPF_19945
A0A4P6WYP5	HPF_07465
A0A4P6X3P2	HPF_11930
A0A4P6WW33	HPF_02200
A0A4V1ABM4	HPF_12305
A0A4P6X460	HPF_20015
A0A4P6X7Z0	HPF_19675
A0A4V1ABX9	HPF_17645
A0A4P6X2Q3	HPF_22225
A0A4P6X3S7	HPF_16010
A0A4V1ABM0	HPF_12095
A0A4P6X0G7	HPF_05965
A0A4P6WU77	HPF_04940
A0A4P6WZI5	HPF_03995
A0A4P6WV55	HPF_00015
A0A4P6WYW2	HPF_06670
A0A4P6X0X1	HPF_13235
A0A4P6WX39	HPF_10570
A0A4V1ABX0	HPF_17195
A0A4P6WSK8	HPF_01525
A0A4P6X0P9	HPF_18585
A0A4P6X3V6	HPF_19350
A0A4P6X2M9	HPF_22760
A0A4P6X8X8	HPF_21145
A0A4P6WU08	HPF_04530
A0A4P6X6G2	HPF_22955
A0A4P6WSF2	HPF_01225
A0A4P6X0L2	HPF_11150
A0A4P6X0G8	HPF_18065
A0A4V1AC09	HPF_19170
A0A4P6WYJ5	HPF_01645
A0A4P6WVA0	HPF_01970
A0A4P6WYP7	HPF_06300
A0A4P6X929	HPF_21880
A0A4P6X5G7	HPF_14940
A0A4P6X1N5	HPF_07455
A0A4P6WTS9	HPF_05970
A0A4P6WZI3	HPF_07980
A0A4P6X3Y3	HPF_17805
A0A4P6X4M8	HPF_13310
A0A4P6X8N8	HPF_21030
A0A4P6X7H0	HPF_18605
A0A4P6WW88	HPF_09025
A0A4P6X211	HPF_14130
A0A4P6X8L9	HPF_20495
A0A4P6WZR0	HPF_08380
A0A4P6X2E0	HPF_22260
A0A4P6X3X2	HPF_16265
A0A4P6WXG8	HPF_13500
A0A4P6WYY1	HPF_14410
A0A4P6WYF4	HPF_13685
A0A4P6X306	HPF_14400
A0A4P6X583	HPF_18490
A0A4P6X0J3	HPF_09895
A0A4P6WY11	HPF_04995
A0A4P6WXT2	HPF_00630
A0A4P6X377	HPF_11025
A0A4P6WWZ7	HPF_10305
A0A4P6X9Z7	HPF_23150
A0A4P6WZ30	HPF_14765
A0A4V1AC84	HPF_22995
A0A4P6X5H3	HPF_18995
A0A4P6X4L1	HPF_13345
A0A4P6WZ74	HPF_08265
A0A4P6X2N1	HPF_15470
A0A4P6X6Z1	HPF_21615
A0A4V1ABY3	HPF_17845
A0A4P6WWJ2	HPF_03970
A0A4P6X2H7	HPF_09060
A0A4P6X0S5	HPF_18735
A0A4P6WUV2	HPF_06145
A0A4P6X277	HPF_21910
A0A4P6X761	HPF_22910
A0A4P6X3G2	HPF_11095
A0A4P6X3K9	HPF_17205
A0A4P6WY35	HPF_05150
A0A4P6WWB4	HPF_02655
A0A4P6WTZ5	HPF_03990
A0A4P6WY49	HPF_06445
A0A4P6WZJ9	HPF_10615
A0A4P6WVW0	HPF_10215
A0A4V1AB13	HPF_01640
A0A4P6WYE7	HPF_13635
A0A4P6X309	HPF_14745
A0A4P6X0V9	HPF_06735
A0A4P6WZS8	HPF_11065
A0A4P6WVF5	HPF_07030
A0A4P6WWI5	HPF_03055
A0A4P6WZV9	HPF_03655
A0A4P6WY38	HPF_14980
A0A4P6WXQ7	HPF_11875
A0A4P6X3Z8	HPF_17855
A0A4P6X5J5	HPF_19800
A0A4P6WYJ7	HPF_07310
A0A4P6WT32	HPF_02615
A0A4P6X6K8	HPF_23205
A0A4P6X226	HPF_21540
A0A4P6WVG7	HPF_02375
A0A4P6X0E1	HPF_10745
A0A4P6X0Y6	HPF_10810
A0A4P6X128	HPF_12165
A0A4P6WZJ6	HPF_18310
A0A4V1AB88	HPF_05425
A0A4P6X5G3	HPF_15025
A0A4P6X1J0	HPF_19820
A0A4P6WZ25	HPF_07070
A0A4P6X5J9	HPF_22925
A0A4V1AC20	HPF_19735
A0A4P6X6Z5	HPF_22605
A0A4P6WXJ6	HPF_13710
A0A4P6X8I8	HPF_20730
A0A4V1AB18	HPF_01890
A0A4P6X4U5	HPF_19595
A0A4P6WXI9	HPF_13660
A0A4P6WUM5	HPF_05310
A0A4P6WX98	HPF_13100
A0A4P6WYM0	HPF_07460
A0A4V1ABS6	HPF_14935
A0A4P6WXU9	HPF_05940
A0A4P6WWQ1	HPF_09940
A0A4P6X4R4	HPF_18225
A0A4P6WZ15	HPF_09490
A0A4P6WWY8	HPF_03965
A0A4P6X3B8	HPF_10840
A0A4V1ABH4	HPF_09770
A0A4P6WU09	HPF_06420
A0A4P6X1P8	HPF_15015
A0A4P6WUX7	HPF_06295
A0A4P6X3H0	HPF_11145
A0A4P6X9T8	HPF_23235
A0A4P6X1C2	HPF_20005
A0A4P6X2E7	HPF_14945
A0A4P6WU21	HPF_04140
A0A4P6WXY0	HPF_14620
A0A4V1ABD3	HPF_07705
A0A4P6WZM5	HPF_03205
A0A4P6X4R3	HPF_13460
A0A4V1ABQ1	HPF_13665
A0A4P6WWA5	HPF_08740
A0A4P6X5L6	HPF_19245
A0A4P6WT07	HPF_02075
A0A4P6WYU4	HPF_06555
A0A4P6WX06	HPF_10370
A0A4P6X0J5	HPF_10285
A0A4P6X6E7	HPF_21605
A0A4P6X5C3	HPF_20550
A0A4P6X3Z6	HPF_19615
A0A4P6X3W2	HPF_16215
A0A4P6WV95	HPF_08850
A0A4P6WX08	HPF_03375
A0A4P6WYD4	HPF_07985
A0A4P6X037	HPF_10180
A0A4P6X189	HPF_11605
A0A4P6X1M2	HPF_14865
A0A4P6X4U9	HPF_18380
A0A4P6X5L1	HPF_19900
A0A4P6WYG7	HPF_05900
A0A4V1ABW8	HPF_17095
A0A4P6WY46	HPF_00845
A0A4P6X828	HPF_19875
A0A4P6X1L0	HPF_13215
A0A4P6X1C0	HPF_19355
A0A4P6X163	HPF_13850
A0A4P6WXE1	HPF_04830
A0A4P6WRP8	HPF_00010
A0A4V1AC28	HPF_20140
A0A4P6X006	HPF_03960
A0A4P6X737	HPF_17750
A0A4P6X7S1	HPF_23120
A0A4P6WYV7	HPF_14650
A0A4P6WUL0	HPF_00570
A0A4P6X2V9	HPF_22475
A0A4P6WYX7	HPF_14360
A0A4P6X5K9	HPF_21100
A0A4P6X2Q9	HPF_13845
A0A4P6X1D1	HPF_06850
A0A4P6X638	HPF_22200
A0A4P6X2K2	HPF_22610
A0A4P6X3E7	HPF_18345
A0A4P6WY65	HPF_06540
A0A4P6X504	HPF_14210
A0A4P6X150	HPF_19605
A0A4P6X579	HPF_19085
A0A4V1ABB6	HPF_06845
A0A4P6WV05	HPF_01405
A0A4P6WV51	HPF_01670
A0A4P6X385	HPF_14910
A0A4P6X2G3	HPF_15065
A0A4P6WZC9	HPF_08615
A0A4P6WZN6	HPF_08620
A0A4P6X7M7	HPF_18960
A0A4P6WWF5	HPF_02905
A0A4P6WZ92	HPF_07475
A0A4P6X9B4	HPF_21945
A0A4P6WWH7	HPF_03005
A0A4P6WXD3	HPF_13300
A0A4P6WT00	HPF_04455
A0A4P6WTN4	HPF_03335
A0A4P6WX54	HPF_05035
A0A4P6WYJ8	HPF_07215
A0A4P6X051	HPF_09130
A0A4V1AC83	HPF_22945
A0A4P6X2S5	HPF_23015
A0A4P6WZB1	HPF_07580
A0A4V1ABI6	HPF_10385
A0A4P6X9G1	HPF_22630
A0A4P6WZW6	HPF_09780
A0A4P6X4E7	HPF_18675
A0A4P6X2Y1	HPF_10025
A0A4P6WTB5	HPF_02680
A0A4P6X5S7	HPF_21530
A0A4P6X4C7	HPF_20470
A0A4P6WZT2	HPF_08870
A0A4P6WZL4	HPF_04195
A0A4P6X2W2	HPF_10375
A0A4P6WYR8	HPF_16490
A0A4V1AC06	HPF_19020
A0A4P6WY89	HPF_06705
A0A4P6X7S8	HPF_18820
A0A4P6WZP7	HPF_08670
A0A4P6X0U9	HPF_05630
A0A4P6X054	HPF_19470
A0A4P6WUN7	HPF_00720
A0A4P6X778	HPF_23010
A0A4P6WSS2	HPF_03950
A0A4P6X305	HPF_17625
A0A4P6X2L4	HPF_09265
A0A4P6WVQ6	HPF_01450
A0A4P6X472	HPF_18220
A0A4P6WWR5	HPF_10040
A0A4P6X744	HPF_22805
A0A4P6WSJ4	HPF_01425
A0A4P6WW27	HPF_10680
A0A4P6X3K7	HPF_18695
A0A4P6WS81	HPF_00825
A0A4P6X002	HPF_09980
A0A4P6WS77	HPF_02990
A0A4P6X0D0	HPF_17865
A0A4V1AB66	HPF_04310
A0A4V1AC70	HPF_22290
A0A4P6WZW2	HPF_11270
A0A4P6WZY0	HPF_19015
A0A4P6X7F2	HPF_18555
A0A4P6X9V0	HPF_23285
A0A4P6X1U4	HPF_07760
A0A4P6WWZ9	HPF_03325
A0A4P6X455	HPF_19965
A0A4P6WXE7	HPF_04130
A0A4P6WVA9	HPF_02020
A0A4P6WWV5	HPF_03125
A0A4P6WUD3	HPF_00255
A0A4P6WVH9	HPF_02005
A0A4P6WYC2	HPF_06860
A0A4P6WVD5	HPF_00465
A0A4P6X0A5	HPF_05615
A0A4P6WRR4	HPF_02185
A0A4V1AC07	HPF_19070
A0A4P6X057	HPF_10280
A0A4P6X542	HPF_20150
A0A4P6WZ52	HPF_07970
A0A4P6WUK2	HPF_05595
A0A4P6X3Q2	HPF_19000
A0A4P6X328	HPF_16300
