KEGGgene	KO	Organism
reh:H16_A0126	ko:K07160	Cupriavidus
reh:H16_A0136	ko:K03525	Cupriavidus
reh:H16_A0335	ko:K03071	Cupriavidus
reh:H16_A0161	ko:K03673	Cupriavidus
reh:H16_A2110	ko:K03611	Cupriavidus
reh:H16_B2275	ko:K01703	Cupriavidus
reh:H16_B2276	ko:K01704	Cupriavidus
reh:PHG016	ko:K04654	Cupriavidus
reh:H16_B1594	ko:K09017	Cupriavidus
reh:H16_A2667	ko:K02621	Cupriavidus
reh:H16_B2403	ko:K01674	Cupriavidus
reh:H16_A3476	ko:K02904	Cupriavidus
reh:H16_A2571	ko:K02911	Cupriavidus
reh:H16_A0084	ko:K03608	Cupriavidus
reh:H16_A1085	ko:K03187	Cupriavidus
reh:H16_A2669	ko:K02622	Cupriavidus
reh:H16_B0102	ko:K00528	Cupriavidus
reh:H16_A2376	ko:K03787	Cupriavidus
reh:H16_A2042	ko:K00748	Cupriavidus
reh:H16_A0379	ko:K03575	Cupriavidus
reh:H16_A2452	ko:K01955	Cupriavidus
reh:H16_B1198	ko:K00111	Cupriavidus
reh:H16_B1585	ko:K09780	Cupriavidus
reh:H16_B2045	ko:K13488	Cupriavidus
reh:H16_A1210	ko:K03555	Cupriavidus
reh:H16_A3009	ko:K09758	Cupriavidus
reh:H16_A1169	ko:K02836	Cupriavidus
reh:H16_A0999	ko:K03841	Cupriavidus
reh:H16_B2264	ko:K02575	Cupriavidus
reh:H16_A2981	ko:K01578	Cupriavidus
reh:H16_A2987	ko:K01687	Cupriavidus
reh:H16_A2990	ko:K01255	Cupriavidus
reh:H16_A2997	ko:K00390	Cupriavidus
reh:H16_A3012	ko:K01053	Cupriavidus
reh:H16_A3013	ko:K01458	Cupriavidus
reh:H16_A3014	ko:K05603	Cupriavidus
reh:H16_A3015	ko:K01468	Cupriavidus
reh:H16_A2039	ko:K09773	Cupriavidus
reh:H16_A3017	ko:K01712	Cupriavidus
reh:H16_A3018	ko:K01745	Cupriavidus
reh:H16_A3250	ko:K03979	Cupriavidus
reh:H16_A3397	ko:K00412	Cupriavidus
reh:H16_A3036	ko:K00278	Cupriavidus
reh:H16_A3037	ko:K00767	Cupriavidus
reh:H16_A3039	ko:K00507	Cupriavidus
reh:H16_A3046	ko:K01870	Cupriavidus
reh:H16_A3047	ko:K03101	Cupriavidus
reh:H16_A3049	ko:K01520	Cupriavidus
reh:H16_A3056	ko:K00031	Cupriavidus
reh:H16_A3061	ko:K00075	Cupriavidus
reh:H16_A3070	ko:K00791	Cupriavidus
reh:H16_A3075	ko:K01464	Cupriavidus
reh:H16_A3077	ko:K01933	Cupriavidus
reh:H16_A3081	ko:K00970	Cupriavidus
reh:H16_A3082	ko:K00950	Cupriavidus
reh:H16_A3084	ko:K00606	Cupriavidus
reh:H16_A3091	ko:K00102	Cupriavidus
reh:H16_A3094	ko:K00104	Cupriavidus
reh:H16_A3106	ko:K00286	Cupriavidus
reh:H16_A3113	ko:K00773	Cupriavidus
reh:H16_A3124	ko:K01756	Cupriavidus
reh:H16_A3125	ko:K00799	Cupriavidus
reh:H16_A3126	ko:K00566	Cupriavidus
reh:H16_A3129	ko:K01579	Cupriavidus
reh:H16_A3139	ko:K01869	Cupriavidus
reh:H16_A3141	ko:K00215	Cupriavidus
reh:H16_A3146	ko:K00134	Cupriavidus
reh:H16_A3147	ko:K00615	Cupriavidus
reh:H16_A3154	ko:K00946	Cupriavidus
reh:H16_A3157	ko:K01591	Cupriavidus
reh:H16_A3161	ko:K00014	Cupriavidus
reh:H16_A3184	ko:K01821	Cupriavidus
reh:H16_A3242	ko:K00760	Cupriavidus
reh:H16_A3244	ko:K00472	Cupriavidus
reh:H16_A3246	ko:K01881	Cupriavidus
reh:H16_A3249	ko:K00931	Cupriavidus
reh:H16_A3258	ko:K00859	Cupriavidus
reh:H16_A3271	ko:K01921	Cupriavidus
reh:H16_A3272	ko:K01924	Cupriavidus
reh:H16_A3275	ko:K01925	Cupriavidus
reh:H16_A3276	ko:K01000	Cupriavidus
reh:H16_A3277	ko:K01929	Cupriavidus
reh:H16_A3278	ko:K01928	Cupriavidus
reh:H16_A3288	ko:K01897	Cupriavidus
reh:H16_A3408	ko:K01523	Cupriavidus
reh:H16_A3409	ko:K01496	Cupriavidus
reh:H16_A3411	ko:K01814	Cupriavidus
reh:H16_A3603	ko:K07054	Cupriavidus
reh:H16_A3414	ko:K01693	Cupriavidus
reh:H16_A3415	ko:K00817	Cupriavidus
reh:H16_A3416	ko:K00013	Cupriavidus
reh:H16_A3417	ko:K00765	Cupriavidus
reh:H16_A3418	ko:K00790	Cupriavidus
reh:H16_A3617	ko:K03656	Cupriavidus
reh:H16_A3433	ko:K01129	Cupriavidus
reh:H16_A3434	ko:K01735	Cupriavidus
reh:H16_A3435	ko:K00891	Cupriavidus
reh:H16_A3443	ko:K01586	Cupriavidus
reh:H16_A3709	ko:K02480	Cupriavidus
reh:H16_A3725	ko:K07649	Cupriavidus
reh:H16_B0103	ko:K01679	Cupriavidus
reh:H16_B0256	ko:K02405	Cupriavidus
reh:H16_A1216	ko:K00640	Cupriavidus
reh:H16_A1225	ko:K00928	Cupriavidus
reh:H16_A1229	ko:K01647	Cupriavidus
reh:H16_A1235	ko:K01640	Cupriavidus
reh:H16_A1239	ko:K00020	Cupriavidus
reh:H16_A1244	ko:K10822	Cupriavidus
reh:H16_A1245	ko:K10822	Cupriavidus
reh:H16_A1262	ko:K00344	Cupriavidus
reh:H16_A1287	ko:K00059	Cupriavidus
reh:H16_A1290	ko:K00632	Cupriavidus
reh:H16_A1297	ko:K00626	Cupriavidus
reh:H16_A1306	ko:K01458	Cupriavidus
reh:H16_A1313	ko:K01740	Cupriavidus
reh:H16_A1317	ko:K01736	Cupriavidus
reh:H16_A1322	ko:K01046	Cupriavidus
reh:H16_A1324	ko:K00311	Cupriavidus
reh:H16_A1334	ko:K00019	Cupriavidus
reh:H16_A1339	ko:K01868	Cupriavidus
reh:H16_A1368	ko:K01142	Cupriavidus
reh:H16_A0793	ko:K00817	Cupriavidus
reh:H16_A1369	ko:K01414	Cupriavidus
reh:H16_A1375	ko:K00627	Cupriavidus
reh:H16_A1377	ko:K00382	Cupriavidus
reh:H16_A0795	ko:K00800	Cupriavidus
reh:H16_A0797	ko:K00945	Cupriavidus
reh:H16_A0817	ko:K00285	Cupriavidus
reh:H16_A0827	ko:K01768	Cupriavidus
reh:H16_A0831	ko:K00274	Cupriavidus
reh:H16_A1813	ko:K07001	Cupriavidus
reh:H16_A1438	ko:K00626	Cupriavidus
reh:H16_A1439	ko:K00023	Cupriavidus
reh:H16_A1445	ko:K00626	Cupriavidus
reh:H16_A1447	ko:K01760	Cupriavidus
reh:H16_A1452	ko:K01079	Cupriavidus
reh:H16_A1882	ko:K02433	Cupriavidus
reh:H16_A1454	ko:K01438	Cupriavidus
reh:H16_A1456	ko:K00991	Cupriavidus
reh:H16_A1892	ko:K08289	Cupriavidus
reh:H16_A1904	ko:K02688	Cupriavidus
reh:H16_A1483	ko:K01358	Cupriavidus
reh:H16_A1485	ko:K01338	Cupriavidus
reh:H16_A1502	ko:K01810	Cupriavidus
reh:H16_A1505	ko:K00285	Cupriavidus
reh:H16_A1937	ko:K00040	Cupriavidus
reh:H16_A1511	ko:K01952	Cupriavidus
reh:H16_A1971	ko:K00666	Cupriavidus
reh:H16_A1528	ko:K00626	Cupriavidus
reh:H16_A1535	ko:K00799	Cupriavidus
reh:H16_A1542	ko:K10822	Cupriavidus
reh:H16_A1547	ko:K01640	Cupriavidus
reh:H16_A1553	ko:K00043	Cupriavidus
reh:H16_A2097	ko:K01266	Cupriavidus
reh:H16_A2113	ko:K01775	Cupriavidus
reh:H16_A2145	ko:K01796	Cupriavidus
reh:H16_A2148	ko:K00626	Cupriavidus
reh:H16_A2150	ko:K01897	Cupriavidus
reh:H16_A2171	ko:K00023	Cupriavidus
reh:H16_A2179	ko:K01759	Cupriavidus
reh:H16_A2182	ko:K01077	Cupriavidus
reh:H16_A2204	ko:K00797	Cupriavidus
reh:H16_A2023	ko:K01537	Cupriavidus
reh:H16_A2211	ko:K01637	Cupriavidus
reh:H16_A2217	ko:K01638	Cupriavidus
reh:H16_A2028	ko:K01951	Cupriavidus
reh:H16_A2030	ko:K00088	Cupriavidus
reh:H16_A2227	ko:K01637	Cupriavidus
reh:H16_A2244	ko:K04091	Cupriavidus
reh:H16_A2251	ko:K07518	Cupriavidus
reh:H16_A2038	ko:K01007	Cupriavidus
reh:H16_A2265	ko:K01733	Cupriavidus
reh:H16_A2266	ko:K00003	Cupriavidus
reh:H16_A2281	ko:K01356	Cupriavidus
reh:H16_A2300	ko:K05995	Cupriavidus
reh:H16_A2321	ko:K01533	Cupriavidus
reh:H16_A2323	ko:K00382	Cupriavidus
reh:H16_A2324	ko:K00658	Cupriavidus
reh:H16_A2325	ko:K00164	Cupriavidus
reh:H16_A2326	ko:K01126	Cupriavidus
reh:H16_A2346	ko:K00616	Cupriavidus
reh:H16_A2354	ko:K01939	Cupriavidus
reh:H16_A2368	ko:K00940	Cupriavidus
reh:H16_A2375	ko:K00573	Cupriavidus
reh:H16_A2377	ko:K00344	Cupriavidus
reh:H16_A0147	ko:K01055	Cupriavidus
reh:H16_A2385	ko:K01640	Cupriavidus
reh:H16_A2403	ko:K01885	Cupriavidus
reh:H16_A0297	ko:K10126	Cupriavidus
reh:H16_A0309	ko:K05834	Cupriavidus
reh:H16_A2410	ko:K00208	Cupriavidus
reh:H16_A2422	ko:K01857	Cupriavidus
reh:H16_A2437	ko:K00937	Cupriavidus
reh:H16_A0340	ko:K02169	Cupriavidus
reh:H16_A2446	ko:K00796	Cupriavidus
reh:H16_A2461	ko:K09461	Cupriavidus
reh:H16_A2462	ko:K01908	Cupriavidus
reh:H16_A2464	ko:K01069	Cupriavidus
reh:H16_A2488	ko:K00986	Cupriavidus
reh:H16_A2505	ko:K01433	Cupriavidus
reh:H16_A2507	ko:K00864	Cupriavidus
reh:H16_A2521	ko:K00824	Cupriavidus
reh:H16_A2525	ko:K01895	Cupriavidus
reh:H16_A2529	ko:K01776	Cupriavidus
reh:H16_A1963	ko:K05549	Cupriavidus
reh:H16_A1962	ko:K05550	Cupriavidus
reh:H16_A2961	ko:K02232	Cupriavidus
reh:H16_B0198	ko:K01031	Cupriavidus
reh:H16_A1000	ko:K01256	Cupriavidus
reh:H16_A1002	ko:K00029	Cupriavidus
reh:H16_A1013	ko:K01487	Cupriavidus
reh:H16_A1027	ko:K00901	Cupriavidus
reh:H16_A1037	ko:K00053	Cupriavidus
reh:H16_A1038	ko:K01613	Cupriavidus
reh:H16_A1041	ko:K01649	Cupriavidus
reh:H16_A1045	ko:K00962	Cupriavidus
reh:H16_A1047	ko:K01803	Cupriavidus
reh:H16_A0787	ko:K00568	Cupriavidus
reh:H16_A1098	ko:K00681	Cupriavidus
reh:H16_A1103	ko:K00799	Cupriavidus
reh:H16_A1122	ko:K01626	Cupriavidus
reh:H16_A1132	ko:K00858	Cupriavidus
reh:H16_A1134	ko:K01772	Cupriavidus
reh:H16_A1151	ko:K00832	Cupriavidus
reh:H16_A1155	ko:K01104	Cupriavidus
reh:H16_A1158	ko:K04487	Cupriavidus
reh:H16_A1178	ko:K01690	Cupriavidus
reh:H16_A1179	ko:K00851	Cupriavidus
reh:H16_A1186	ko:K01627	Cupriavidus
reh:H16_A1188	ko:K01689	Cupriavidus
reh:H16_A1199	ko:K00384	Cupriavidus
reh:H16_A1204	ko:K01714	Cupriavidus
reh:H16_A0791	ko:K00831	Cupriavidus
reh:H16_A1214	ko:K01092	Cupriavidus
reh:H16_B1367	ko:K00249	Cupriavidus
reh:H16_B1369	ko:K00626	Cupriavidus
reh:H16_A2551	ko:K00997	Cupriavidus
reh:H16_A2557	ko:K03100	Cupriavidus
reh:H16_A2567	ko:K00059	Cupriavidus
reh:H16_A2568	ko:K00645	Cupriavidus
reh:H16_A2589	ko:K00763	Cupriavidus
reh:H16_A2592	ko:K00384	Cupriavidus
reh:H16_A2596	ko:K00249	Cupriavidus
reh:H16_A2607	ko:K00764	Cupriavidus
reh:H16_A2615	ko:K01817	Cupriavidus
reh:H16_A2618	ko:K00133	Cupriavidus
reh:H16_A2619	ko:K00052	Cupriavidus
reh:H16_A2627	ko:K01647	Cupriavidus
reh:H16_A2636	ko:K01659	Cupriavidus
reh:H16_A2643	ko:K00797	Cupriavidus
reh:H16_A2647	ko:K00797	Cupriavidus
reh:H16_B1389	ko:K00855	Cupriavidus
reh:H16_B1391	ko:K01783	Cupriavidus
reh:H16_B1410	ko:K00433	Cupriavidus
reh:H16_B1418	ko:K00453	Cupriavidus
reh:H16_B1422	ko:K00384	Cupriavidus
reh:H16_B1441	ko:K01053	Cupriavidus
reh:H16_B1501	ko:K00036	Cupriavidus
reh:H16_B1502	ko:K01810	Cupriavidus
reh:H16_B1503	ko:K00847	Cupriavidus
reh:H16_B1533	ko:K03119	Cupriavidus
reh:H16_B1534	ko:K00128	Cupriavidus
reh:H16_B1537	ko:K00135	Cupriavidus
reh:H16_B1558	ko:K05343	Cupriavidus
reh:H16_B1559	ko:K00700	Cupriavidus
reh:H16_B1561	ko:K00705	Cupriavidus
reh:H16_B1576	ko:K01497	Cupriavidus
reh:H16_B1581	ko:K00549	Cupriavidus
reh:H16_B1583	ko:K01055	Cupriavidus
reh:H16_B1584	ko:K03464	Cupriavidus
reh:H16_B1593	ko:K01485	Cupriavidus
reh:H16_B1595	ko:K00761	Cupriavidus
reh:H16_B1629	ko:K00208	Cupriavidus
reh:H16_B1630	ko:K00925	Cupriavidus
reh:H16_B1631	ko:K00625	Cupriavidus
reh:H16_A0905	ko:K02841	Cupriavidus
reh:H16_A0430	ko:K00697	Cupriavidus
reh:H16_A0431	ko:K01724	Cupriavidus
reh:H16_A0909	ko:K08301	Cupriavidus
reh:H16_A0453	ko:K01876	Cupriavidus
reh:H16_A0285	ko:K01897	Cupriavidus
reh:H16_A0471	ko:K00261	Cupriavidus
reh:H16_A1035	ko:K01652	Cupriavidus
reh:H16_A1072	ko:K02298	Cupriavidus
reh:H16_A1073	ko:K02299	Cupriavidus
reh:H16_A0479	ko:K01465	Cupriavidus
reh:H16_A1074	ko:K02300	Cupriavidus
reh:H16_A0490	ko:K01866	Cupriavidus
reh:H16_A0499	ko:K01126	Cupriavidus
reh:H16_A0513	ko:K00097	Cupriavidus
reh:H16_A0515	ko:K01867	Cupriavidus
reh:H16_A0517	ko:K01759	Cupriavidus
reh:H16_A0519	ko:K00655	Cupriavidus
reh:H16_A0535	ko:K01607	Cupriavidus
reh:H16_A0561	ko:K00826	Cupriavidus
reh:H16_A0566	ko:K00927	Cupriavidus
reh:H16_A0567	ko:K00873	Cupriavidus
reh:H16_A0569	ko:K01923	Cupriavidus
reh:H16_A0591	ko:K00567	Cupriavidus
reh:H16_A0603	ko:K00939	Cupriavidus
reh:H16_A0604	ko:K00979	Cupriavidus
reh:H16_A0606	ko:K00912	Cupriavidus
reh:H16_A0618	ko:K00344	Cupriavidus
reh:H16_A0624	ko:K01826	Cupriavidus
reh:H16_A0632	ko:K00344	Cupriavidus
reh:H16_A0666	ko:K00016	Cupriavidus
reh:H16_A0669	ko:K01104	Cupriavidus
reh:H16_A0670	ko:K00925	Cupriavidus
reh:H16_A0674	ko:K01768	Cupriavidus
reh:H16_A0689	ko:K01750	Cupriavidus
reh:H16_A0695	ko:K01712	Cupriavidus
reh:H16_A1087	ko:K03189	Cupriavidus
reh:H16_A0734	ko:K01845	Cupriavidus
reh:H16_A0745	ko:K00128	Cupriavidus
reh:H16_A0746	ko:K01507	Cupriavidus
reh:H16_A0749	ko:K01950	Cupriavidus
reh:H16_A0753	ko:K00384	Cupriavidus
reh:H16_A0764	ko:K01875	Cupriavidus
reh:H16_A0770	ko:K00285	Cupriavidus
reh:H16_A0784	ko:K00681	Cupriavidus
reh:H16_A1113	ko:K01576	Cupriavidus
reh:H16_A1736	ko:K01470	Cupriavidus
reh:H16_A1772	ko:K00141	Cupriavidus
reh:H16_A1779	ko:K00384	Cupriavidus
reh:H16_A1786	ko:K00217	Cupriavidus
reh:H16_A1809	ko:K01768	Cupriavidus
reh:H16_A1814	ko:K00019	Cupriavidus
reh:H16_A1848	ko:K01790	Cupriavidus
reh:H16_A1850	ko:K00067	Cupriavidus
reh:H16_A1851	ko:K01710	Cupriavidus
reh:H16_A1864	ko:K00973	Cupriavidus
reh:H16_A1887	ko:K00626	Cupriavidus
reh:H16_A1903	ko:K01738	Cupriavidus
reh:H16_A1905	ko:K03417	Cupriavidus
reh:H16_A1906	ko:K01659	Cupriavidus
reh:H16_A1909	ko:K01720	Cupriavidus
reh:H16_A1910	ko:K05597	Cupriavidus
reh:H16_A1918	ko:K01434	Cupriavidus
reh:H16_A1922	ko:K01297	Cupriavidus
reh:H16_B0175	ko:K01061	Cupriavidus
reh:H16_A2043	ko:K00677	Cupriavidus
reh:H16_A2663	ko:K00799	Cupriavidus
reh:H16_B0776	ko:K00372	Cupriavidus
reh:H16_A2685	ko:K01802	Cupriavidus
reh:H16_A2703	ko:K00560	Cupriavidus
reh:H16_A2704	ko:K00287	Cupriavidus
reh:H16_B1120	ko:K07004	Cupriavidus
reh:H16_B1289	ko:K02043	Cupriavidus
reh:H16_A2049	ko:K00099	Cupriavidus
reh:H16_A2051	ko:K00806	Cupriavidus
reh:H16_A2056	ko:K01265	Cupriavidus
reh:H16_B1359	ko:K02613	Cupriavidus
reh:H16_A2060	ko:K01972	Cupriavidus
reh:H16_B1461	ko:K00425	Cupriavidus
reh:H16_A2066	ko:K00674	Cupriavidus
reh:H16_B1462	ko:K00426	Cupriavidus
reh:H16_A2069	ko:K01439	Cupriavidus
reh:H16_A2079	ko:K00344	Cupriavidus
reh:H16_B1571	ko:K03701	Cupriavidus
reh:H16_A2718	ko:K01026	Cupriavidus
reh:H16_B1693	ko:K04116	Cupriavidus
reh:H16_A2724	ko:K01114	Cupriavidus
reh:H16_B1798	ko:K00059	Cupriavidus
reh:H16_A2730	ko:K01409	Cupriavidus
reh:H16_A2732	ko:K01662	Cupriavidus
reh:H16_A2733	ko:K00795	Cupriavidus
reh:H16_B2032	ko:K03496	Cupriavidus
reh:H16_A2748	ko:K01897	Cupriavidus
reh:H16_A2751	ko:K01873	Cupriavidus
reh:H16_A2752	ko:K00963	Cupriavidus
reh:H16_A2758	ko:K01685	Cupriavidus
reh:H16_A2761	ko:K03426	Cupriavidus
reh:H16_A2762	ko:K01620	Cupriavidus
reh:H16_B2572	ko:K07058	Cupriavidus
reh:H16_A2769	ko:K01872	Cupriavidus
reh:H16_A2780	ko:K00681	Cupriavidus
reh:H16_A2784	ko:K01886	Cupriavidus
reh:H16_A2802	ko:K00275	Cupriavidus
reh:H16_A2803	ko:K00574	Cupriavidus
reh:H16_A2815	ko:K01556	Cupriavidus
reh:H16_A2816	ko:K00453	Cupriavidus
reh:H16_A2818	ko:K00252	Cupriavidus
reh:H16_A2834	ko:K00600	Cupriavidus
reh:H16_A2860	ko:K01907	Cupriavidus
reh:H16_A2862	ko:K05973	Cupriavidus
reh:H16_A2863	ko:K01785	Cupriavidus
reh:H16_A2871	ko:K06153	Cupriavidus
reh:H16_A2877	ko:K00573	Cupriavidus
reh:H16_A2903	ko:K09691	Cupriavidus
reh:H16_A2964	ko:K02225	Cupriavidus
reh:H16_A2893	ko:K00978	Cupriavidus
reh:H16_A2970	ko:K02013	Cupriavidus
reh:H16_A2995	ko:K00956	Cupriavidus
reh:H16_B0353	ko:K01644	Cupriavidus
reh:H16_A2900	ko:K01711	Cupriavidus
reh:H16_B0496	ko:K00483	Cupriavidus
reh:H16_A2906	ko:K01790	Cupriavidus
reh:H16_A2907	ko:K00973	Cupriavidus
reh:H16_A2908	ko:K00067	Cupriavidus
reh:H16_A2909	ko:K01710	Cupriavidus
reh:H16_A2911	ko:K00655	Cupriavidus
reh:H16_A2912	ko:K01465	Cupriavidus
reh:H16_A2920	ko:K01749	Cupriavidus
reh:H16_A2921	ko:K01595	Cupriavidus
reh:H16_A3020	ko:K02049	Cupriavidus
reh:H16_A2925	ko:K01755	Cupriavidus
reh:H16_A2931	ko:K01494	Cupriavidus
reh:H16_A3167	ko:K02558	Cupriavidus
reh:H16_A2947	ko:K01897	Cupriavidus
reh:H16_B0658	ko:K00459	Cupriavidus
reh:H16_A2968	ko:K00768	Cupriavidus
reh:H16_A0314	ko:K01443	Cupriavidus
reh:H16_A0316	ko:K00036	Cupriavidus
reh:H16_A0322	ko:K01919	Cupriavidus
reh:H16_A0323	ko:K01920	Cupriavidus
reh:H16_A0867	ko:K00626	Cupriavidus
reh:H16_A0868	ko:K00626	Cupriavidus
reh:H16_A0872	ko:K00626	Cupriavidus
reh:H16_A0896	ko:K00554	Cupriavidus
reh:H16_A1265	ko:K00324	Cupriavidus
reh:H16_A1266	ko:K00325	Cupriavidus
reh:H16_A0913	ko:K00969	Cupriavidus
reh:H16_A0914	ko:K00228	Cupriavidus
reh:H16_A0915	ko:K01945	Cupriavidus
reh:H16_A1380	ko:K04069	Cupriavidus
reh:H16_A0918	ko:K00761	Cupriavidus
reh:H16_A0923	ko:K01799	Cupriavidus
reh:H16_A0932	ko:K01734	Cupriavidus
reh:H16_A0949	ko:K00989	Cupriavidus
reh:H16_A0953	ko:K00942	Cupriavidus
reh:H16_A1569	ko:K00943	Cupriavidus
reh:H16_A1603	ko:K00797	Cupriavidus
reh:H16_A1616	ko:K01895	Cupriavidus
reh:H16_A1622	ko:K00573	Cupriavidus
reh:H16_A1630	ko:K00529	Cupriavidus
reh:H16_A1648	ko:K00799	Cupriavidus
reh:H16_A1656	ko:K00988	Cupriavidus
reh:H16_A1679	ko:K01669	Cupriavidus
reh:H16_A1713	ko:K00626	Cupriavidus
reh:H16_A1715	ko:K00077	Cupriavidus
reh:H16_A1720	ko:K00626	Cupriavidus
reh:H16_A1213	ko:K09794	Cupriavidus
reh:H16_A2311	ko:K09792	Cupriavidus
reh:H16_A1960	ko:K05783	Cupriavidus
reh:H16_A1964	ko:K03381	Cupriavidus
reh:H16_A1966	ko:K01856	Cupriavidus
reh:H16_A1967	ko:K03464	Cupriavidus
reh:H16_A1968	ko:K01055	Cupriavidus
reh:H16_A1972	ko:K00253	Cupriavidus
reh:H16_A1975	ko:K00789	Cupriavidus
reh:H16_A2002	ko:K00023	Cupriavidus
reh:H16_A2009	ko:K00259	Cupriavidus
reh:H16_A2012	ko:K00758	Cupriavidus
reh:H16_A1403	ko:K00684	Cupriavidus
reh:H16_A1412	ko:K04110	Cupriavidus
reh:H16_B1385	ko:K00927	Cupriavidus
reh:H16_B1386	ko:K00134	Cupriavidus
reh:H16_B1387	ko:K01091	Cupriavidus
reh:H16_B1388	ko:K00615	Cupriavidus
reh:H16_A3128	ko:K00324	Cupriavidus
reh:H16_A0328	ko:K03594	Cupriavidus
reh:H16_A0389	ko:K09774	Cupriavidus
reh:H16_A1455	ko:K03723	Cupriavidus
reh:H16_A1162	ko:K04082	Cupriavidus
reh:H16_B2270	ko:K01673	Cupriavidus
reh:H16_B0047	ko:K03449	Cupriavidus
reh:H16_A0123	ko:K03644	Cupriavidus
reh:H16_A2115	ko:K09977	Cupriavidus
reh:H16_A2806	ko:K07304	Cupriavidus
reh:H16_A2959	ko:K01918	Cupriavidus
reh:H16_A3339	ko:K02492	Cupriavidus
reh:H16_A0122	ko:K03801	Cupriavidus
reh:H16_B0788	ko:K00694	Cupriavidus
reh:H16_B1296	ko:K02041	Cupriavidus
reh:H16_A1482	ko:K03545	Cupriavidus
reh:H16_A0383	ko:K06023	Cupriavidus
reh:H16_A1310	ko:K07058	Cupriavidus
reh:H16_A2273	ko:K03306	Cupriavidus
reh:H16_B1091	ko:K09915	Cupriavidus
reh:H16_A2962	ko:K02231	Cupriavidus
reh:H16_B2300	ko:K07337	Cupriavidus
reh:H16_A0748	ko:K09919	Cupriavidus
reh:H16_A1961	ko:K05784	Cupriavidus
reh:H16_A2734	ko:K03602	Cupriavidus
reh:H16_B2092	ko:K07345	Cupriavidus
reh:H16_A0236	ko:K03153	Cupriavidus
reh:H16_B1966	ko:K03893	Cupriavidus
reh:H16_A0108	ko:K02434	Cupriavidus
reh:H16_A2308	ko:K09748	Cupriavidus
reh:H16_A3493	ko:K02992	Cupriavidus
reh:H16_A3475	ko:K02961	Cupriavidus
reh:H16_B0199	ko:K01032	Cupriavidus
reh:H16_A0571	ko:K01589	Cupriavidus
reh:H16_B1715	ko:K00324	Cupriavidus
reh:H16_A3412	ko:K02501	Cupriavidus
reh:H16_A1639	ko:K00381	Cupriavidus
reh:H16_A1640	ko:K02300	Cupriavidus
reh:H16_A1641	ko:K02299	Cupriavidus
reh:H16_A1643	ko:K02297	Cupriavidus
reh:H16_A1652	ko:K07303	Cupriavidus
reh:H16_A2999	ko:K00381	Cupriavidus
reh:H16_A3155	ko:K01095	Cupriavidus
reh:H16_B1395	ko:K01601	Cupriavidus
reh:H16_A3173	ko:K02687	Cupriavidus
reh:H16_A2359	ko:K03666	Cupriavidus
reh:H16_A2358	ko:K03665	Cupriavidus
reh:H16_A2896	ko:K01709	Cupriavidus
reh:H16_A2923	ko:K03088	Cupriavidus
reh:H16_A1060	ko:K00340	Cupriavidus
reh:H16_A0343	ko:K02274	Cupriavidus
