Organism	Metabolite	Conc	Module	Relation	Interactions	Description
Hydrogenophaga	AcCoA	Low	M00009	Internal	4	Citrate cycle (TCA cycle, Krebs cycle)
Hydrogenophaga	AcCoA	Low	M00011	Internal	4	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Hydrogenophaga	ATP	High	M00011	Internal	4	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Hydrogenophaga	ATP	High	M00088	External	4	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	ATP	High	M00095	Internal	4	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	ATP	High	M00375	Internal	4	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	ATP	High	M00849	Internal	4	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Hydrogenophaga	FBP	High	M00374	External	4	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	AcCoA	High	M00083	External	3	Fatty acid biosynthesis, elongation
Cupriavidus	AcCoA	High	M00572	External	3	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Cupriavidus	Cit	High	M00165	External	3	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	Cit	High	M00167	External	3	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	G6P	High	M00004	External	3	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	G6P	High	M00087	External	3	beta-Oxidation
Cupriavidus	G6P	High	M00135	External	3	GABA biosynthesis, eukaryotes, putrescine => GABA
Cupriavidus	G6P	High	M00165	External	3	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	G6P	High	M00167	External	3	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	G6P	High	M00913	External	3	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
Hydrogenophaga	AcCoA	High	M00001	External	3	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Hydrogenophaga	AcCoA	High	M00032	External	3	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
Hydrogenophaga	AcCoA	High	M00050	External	3	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Hydrogenophaga	AcCoA	High	M00095	Internal	3	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	AcCoA	High	M00375	Internal	3	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	AcCoA	High	M00740	Internal	3	Methylaspartate cycle
Hydrogenophaga	AcCoA	High	M00849	Internal	3	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Hydrogenophaga	AcCoA	High	M00874	External	3	Fatty acid biosynthesis in mitochondria, fungi
Hydrogenophaga	AcCoA	Low	M00173	Internal	3	Reductive citrate cycle (Arnon-Buchanan cycle)
Hydrogenophaga	AcCoA	Low	M00373	Internal	3	Ethylmalonyl pathway
Hydrogenophaga	ATP	High	M00001	Internal	3	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Hydrogenophaga	ATP	High	M00026	Internal	3	Histidine biosynthesis, PRPP => histidine
Hydrogenophaga	ATP	High	M00050	Internal	3	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Hydrogenophaga	ATP	High	M00083	External	3	Fatty acid biosynthesis, elongation
Hydrogenophaga	ATP	High	M00165	Internal	3	Reductive pentose phosphate cycle (Calvin cycle)
Hydrogenophaga	ATP	High	M00167	External	3	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Hydrogenophaga	ATP	High	M00173	Internal	3	Reductive citrate cycle (Arnon-Buchanan cycle)
Hydrogenophaga	ATP	High	M00572	External	3	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Hydrogenophaga	ATP	High	M00740	External	3	Methylaspartate cycle
Hydrogenophaga	FBP	High	M00009	External	3	Citrate cycle (TCA cycle, Krebs cycle)
Hydrogenophaga	FBP	High	M00011	External	3	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Hydrogenophaga	FBP	High	M00373	External	3	Ethylmalonyl pathway
Hydrogenophaga	GAP	High	M00036	External	3	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Hydrogenophaga	GAP	High	M00083	External	3	Fatty acid biosynthesis, elongation
Hydrogenophaga	GAP	High	M00173	External	3	Reductive citrate cycle (Arnon-Buchanan cycle)
Hydrogenophaga	GAP	High	M00572	External	3	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Hydrogenophaga	Glyx	High	M00374	External	3	Dicarboxylate-hydroxybutyrate cycle
Synechococcus	GAP	High	M00026	External	3	Histidine biosynthesis, PRPP => histidine
Synechococcus	GAP	High	M00432	External	3	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Synechocystis	GAP	High	M00001	Internal	3	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	GAP	High	M00002	Internal	3	Glycolysis, core module involving three-carbon compounds
Synechocystis	GAP	High	M00570	External	3	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Synechocystis	Glyx	High	M00570	External	3	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	AcCoA	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	AcCoA	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	AcCoA	High	M00874	External	2	Fatty acid biosynthesis in mitochondria, fungi
Cupriavidus	ATP	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	ATP	High	M00036	Internal	2	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Cupriavidus	ATP	High	M00083	External	2	Fatty acid biosynthesis, elongation
Cupriavidus	ATP	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	ATP	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	ATP	High	M00572	External	2	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Cupriavidus	ATP	High	M00874	External	2	Fatty acid biosynthesis in mitochondria, fungi
Cupriavidus	Cit	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	Cit	High	M00003	External	2	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	Cit	High	M00004	External	2	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	Cit	High	M00007	External	2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	Cit	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	Cit	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	Cit	High	M00357	External	2	Methanogenesis, acetate => methane
Cupriavidus	Cit	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	G6P	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	G6P	High	M00003	External	2	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	G6P	High	M00007	External	2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	G6P	High	M00013	External	2	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	G6P	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	G6P	High	M00095	External	2	C5 isoprenoid biosynthesis, mevalonate pathway
Cupriavidus	G6P	High	M00357	External	2	Methanogenesis, acetate => methane
Cupriavidus	G6P	High	M00373	External	2	Ethylmalonyl pathway
Cupriavidus	G6P	High	M00374	External	2	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	G6P	High	M00375	External	2	Hydroxypropionate-hydroxybutylate cycle
Cupriavidus	G6P	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	G6P	High	M00849	External	2	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Cupriavidus	G6P	High	M00880	External	2	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Cupriavidus	G6P	Low	M00165	External	2	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	G6P	Low	M00167	External	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	GAP	High	M00004	Internal	2	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	GAP	High	M00083	External	2	Fatty acid biosynthesis, elongation
Cupriavidus	GAP	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	GAP	High	M00572	External	2	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Cupriavidus	Glyx	High	M00004	External	2	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	Glyx	High	M00007	External	2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	Glyx	High	M00165	External	2	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	Glyx	High	M00167	External	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	Glyx	High	M00357	External	2	Methanogenesis, acetate => methane
Cupriavidus	RuBP	High	M00165	Internal	2	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	RuBP	High	M00167	External	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Hydrogenophaga	AcCoA	High	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Hydrogenophaga	AcCoA	High	M00003	External	2	Gluconeogenesis, oxaloacetate => fructose-6P
Hydrogenophaga	AcCoA	High	M00004	External	2	Pentose phosphate pathway (Pentose phosphate cycle)
Hydrogenophaga	AcCoA	High	M00026	External	2	Histidine biosynthesis, PRPP => histidine
Hydrogenophaga	AcCoA	High	M00049	External	2	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Hydrogenophaga	AcCoA	High	M00087	Internal	2	beta-Oxidation
Hydrogenophaga	AcCoA	High	M00165	External	2	Reductive pentose phosphate cycle (Calvin cycle)
Hydrogenophaga	AcCoA	High	M00167	External	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Hydrogenophaga	AcCoA	High	M00307	Internal	2	Pyruvate oxidation, pyruvate => acetyl-CoA
Hydrogenophaga	AcCoA	High	M00346	Internal	2	Formaldehyde assimilation, serine pathway
Hydrogenophaga	AcCoA	High	M00532	External	2	Photorespiration
Hydrogenophaga	AcCoA	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Hydrogenophaga	AcCoA	High	M00620	Internal	2	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
Hydrogenophaga	AcCoA	Low	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Hydrogenophaga	AcCoA	Low	M00003	External	2	Gluconeogenesis, oxaloacetate => fructose-6P
Hydrogenophaga	AcCoA	Low	M00026	External	2	Histidine biosynthesis, PRPP => histidine
Hydrogenophaga	AcCoA	Low	M00032	External	2	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
Hydrogenophaga	AcCoA	Low	M00036	Internal	2	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Hydrogenophaga	AcCoA	Low	M00088	Internal	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	AcCoA	Low	M00095	Internal	2	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	AcCoA	Low	M00346	Internal	2	Formaldehyde assimilation, serine pathway
Hydrogenophaga	AcCoA	Low	M00375	Internal	2	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	AcCoA	Low	M00620	Internal	2	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
Hydrogenophaga	AcCoA	Low	M00849	Internal	2	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Hydrogenophaga	ATP	High	M00002	Internal	2	Glycolysis, core module involving three-carbon compounds
Hydrogenophaga	ATP	High	M00003	Internal	2	Gluconeogenesis, oxaloacetate => fructose-6P
Hydrogenophaga	ATP	High	M00004	External	2	Pentose phosphate pathway (Pentose phosphate cycle)
Hydrogenophaga	ATP	High	M00007	External	2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Hydrogenophaga	ATP	High	M00032	External	2	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
Hydrogenophaga	ATP	High	M00049	Internal	2	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Hydrogenophaga	ATP	High	M00087	External	2	beta-Oxidation
Hydrogenophaga	ATP	High	M00125	Internal	2	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD
Hydrogenophaga	ATP	High	M00307	External	2	Pyruvate oxidation, pyruvate => acetyl-CoA
Hydrogenophaga	ATP	High	M00346	Internal	2	Formaldehyde assimilation, serine pathway
Hydrogenophaga	ATP	High	M00532	Internal	2	Photorespiration
Hydrogenophaga	ATP	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Hydrogenophaga	ATP	High	M00620	Internal	2	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
Hydrogenophaga	ATP	High	M00874	External	2	Fatty acid biosynthesis in mitochondria, fungi
Hydrogenophaga	ATP	High	M00880	Internal	2	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Hydrogenophaga	ATP	High	M00911	Internal	2	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD
Hydrogenophaga	Cit	High	M00373	External	2	Ethylmalonyl pathway
Hydrogenophaga	FBP	High	M00026	External	2	Histidine biosynthesis, PRPP => histidine
Hydrogenophaga	FBP	High	M00083	External	2	Fatty acid biosynthesis, elongation
Hydrogenophaga	FBP	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	FBP	High	M00095	External	2	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	FBP	High	M00173	External	2	Reductive citrate cycle (Arnon-Buchanan cycle)
Hydrogenophaga	FBP	High	M00375	External	2	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	FBP	High	M00572	External	2	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Hydrogenophaga	FBP	High	M00849	External	2	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Hydrogenophaga	FBP	High	M00874	External	2	Fatty acid biosynthesis in mitochondria, fungi
Hydrogenophaga	GAP	High	M00001	Internal	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Hydrogenophaga	GAP	High	M00002	Internal	2	Glycolysis, core module involving three-carbon compounds
Hydrogenophaga	GAP	High	M00004	Internal	2	Pentose phosphate pathway (Pentose phosphate cycle)
Hydrogenophaga	GAP	High	M00007	Internal	2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Hydrogenophaga	GAP	High	M00032	External	2	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
Hydrogenophaga	GAP	High	M00050	External	2	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Hydrogenophaga	GAP	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	GAP	High	M00095	External	2	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	GAP	High	M00165	Internal	2	Reductive pentose phosphate cycle (Calvin cycle)
Hydrogenophaga	GAP	High	M00167	Internal	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Hydrogenophaga	GAP	High	M00307	External	2	Pyruvate oxidation, pyruvate => acetyl-CoA
Hydrogenophaga	GAP	High	M00346	External	2	Formaldehyde assimilation, serine pathway
Hydrogenophaga	GAP	High	M00373	External	2	Ethylmalonyl pathway
Hydrogenophaga	GAP	High	M00375	External	2	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	GAP	High	M00532	External	2	Photorespiration
Hydrogenophaga	GAP	High	M00620	External	2	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
Hydrogenophaga	GAP	High	M00849	External	2	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Hydrogenophaga	GAP	High	M00874	External	2	Fatty acid biosynthesis in mitochondria, fungi
Hydrogenophaga	Glyx	High	M00088	External	2	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Hydrogenophaga	Glyx	High	M00095	External	2	C5 isoprenoid biosynthesis, mevalonate pathway
Hydrogenophaga	Glyx	High	M00373	Internal	2	Ethylmalonyl pathway
Hydrogenophaga	Glyx	High	M00375	External	2	Hydroxypropionate-hydroxybutylate cycle
Hydrogenophaga	Glyx	High	M00849	External	2	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Synechococcus	ATP	High	M00004	External	2	Pentose phosphate pathway (Pentose phosphate cycle)
Synechococcus	ATP	High	M00015	Internal	2	Proline biosynthesis, glutamate => proline
Synechococcus	ATP	High	M00165	Internal	2	Reductive pentose phosphate cycle (Calvin cycle)
Synechococcus	ATP	High	M00167	External	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Synechococcus	ATP	High	M00432	External	2	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Synechococcus	ATP	High	M00535	External	2	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Synechococcus	GAP	High	M00004	Internal	2	Pentose phosphate pathway (Pentose phosphate cycle)
Synechococcus	GAP	High	M00009	External	2	Citrate cycle (TCA cycle, Krebs cycle)
Synechococcus	GAP	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Synechococcus	GAP	High	M00163	External	2	Photosystem I
Synechococcus	GAP	High	M00165	Internal	2	Reductive pentose phosphate cycle (Calvin cycle)
Synechococcus	GAP	High	M00167	Internal	2	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Synechococcus	GAP	High	M00307	External	2	Pyruvate oxidation, pyruvate => acetyl-CoA
Synechococcus	GAP	High	M00535	External	2	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Synechococcus	GAP	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Synechocystis	AcCoA	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	AcCoA	High	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	AcCoA	High	M00009	Internal	2	Citrate cycle (TCA cycle, Krebs cycle)
Synechocystis	AcCoA	High	M00011	Internal	2	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Synechocystis	AcCoA	High	M00060	External	2	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Synechocystis	AcCoA	High	M00162	External	2	Cytochrome b6f complex
Synechocystis	AcCoA	High	M00373	Internal	2	Ethylmalonyl pathway
Synechocystis	AcCoA	High	M00374	Internal	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	AcCoA	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Synechocystis	AcCoA	High	M00866	External	2	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Synechocystis	AcCoA	Low	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	AcCoA	Low	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	AcCoA	Low	M00374	Internal	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	ATP	High	M00001	Internal	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	ATP	High	M00002	Internal	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	ATP	High	M00009	Internal	2	Citrate cycle (TCA cycle, Krebs cycle)
Synechocystis	ATP	High	M00011	Internal	2	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Synechocystis	ATP	High	M00049	Internal	2	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Synechocystis	ATP	High	M00050	Internal	2	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Synechocystis	ATP	High	M00374	Internal	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	ATP	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Synechocystis	Cit	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	Cit	High	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	Cit	High	M00374	External	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	GAP	High	M00009	External	2	Citrate cycle (TCA cycle, Krebs cycle)
Synechocystis	GAP	High	M00011	External	2	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Synechocystis	GAP	High	M00015	External	2	Proline biosynthesis, glutamate => proline
Synechocystis	GAP	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Synechocystis	GAP	High	M00049	External	2	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Synechocystis	GAP	High	M00050	External	2	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Synechocystis	GAP	High	M00060	External	2	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Synechocystis	GAP	High	M00162	External	2	Cytochrome b6f complex
Synechocystis	GAP	High	M00373	External	2	Ethylmalonyl pathway
Synechocystis	GAP	High	M00374	External	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	GAP	High	M00866	External	2	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Synechocystis	Glyx	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	Glyx	High	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	Glyx	High	M00019	External	2	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Synechocystis	Glyx	High	M00049	External	2	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Synechocystis	Glyx	High	M00050	External	2	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Synechocystis	Glyx	High	M00373	Internal	2	Ethylmalonyl pathway
Synechocystis	Glyx	High	M00374	External	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	Ru5P	High	M00001	External	2	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Synechocystis	Ru5P	High	M00002	External	2	Glycolysis, core module involving three-carbon compounds
Synechocystis	Ru5P	High	M00009	External	2	Citrate cycle (TCA cycle, Krebs cycle)
Synechocystis	Ru5P	High	M00011	External	2	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Synechocystis	Ru5P	High	M00015	External	2	Proline biosynthesis, glutamate => proline
Synechocystis	Ru5P	High	M00162	External	2	Cytochrome b6f complex
Synechocystis	Ru5P	High	M00374	External	2	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	Ru5P	High	M00570	External	2	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	3PGA	High	M00001	Internal	1	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	3PGA	High	M00002	Internal	1	Glycolysis, core module involving three-carbon compounds
Cupriavidus	3PGA	High	M00003	Internal	1	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	3PGA	High	M00004	External	1	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	3PGA	High	M00007	External	1	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	3PGA	High	M00165	Internal	1	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	3PGA	High	M00167	External	1	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	3PGA	High	M00346	External	1	Formaldehyde assimilation, serine pathway
Cupriavidus	AcCoA	High	M00001	External	1	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	AcCoA	High	M00002	External	1	Glycolysis, core module involving three-carbon compounds
Cupriavidus	AcCoA	High	M00003	External	1	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	AcCoA	High	M00004	External	1	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	AcCoA	High	M00007	External	1	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	AcCoA	High	M00027	External	1	GABA (gamma-Aminobutyrate) shunt
Cupriavidus	AcCoA	High	M00029	External	1	Urea cycle
Cupriavidus	AcCoA	High	M00036	Internal	1	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Cupriavidus	AcCoA	High	M00060	External	1	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Cupriavidus	AcCoA	High	M00088	Internal	1	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	AcCoA	High	M00095	Internal	1	C5 isoprenoid biosynthesis, mevalonate pathway
